Position	Dspace	ESD(P)	Corr.Fact	Intensity	Rel.Int.	FWHM(L)	ESD(L)	Area
[deg]	[A]	[deg]	[deg]	[CPS]	[CPS]	[deg]	[deg]	[deg]
50.7000	1.7991	0.0000	0.0000	54.17	2.46	0.1200	0.0000	4.3333
52.4800	1.7422	0.0000	0.0000	380.83	17.33	0.1400	0.0000	15.2333
52.6200	1.7379	0.0000	0.0000	263.33	11.98	0.1200	0.0000	10.5333
54.9800	1.6687	0.0000	0.0000	79.17	3.60	0.0800	0.0000	7.9167
55.4600	1.6554	0.0000	0.0000	62.50	2.84	0.1000	0.0000	1.2500
58.3400	1.5804	0.0000	0.0000	44.17	2.01	0.0600	0.0000	4.4167
58.5400	1.5755	0.0000	0.0000	52.50	2.39	0.1400	0.0000	2.1000
60.0400	1.5396	0.0000	0.0000	202.50	9.22	0.1200	0.0000	20.2500
60.2000	1.5359	0.0000	0.0000	140.83	6.41	0.1200	0.0000	19.7167
61.5800	1.5048	0.0000	0.0000	42.50	1.93	0.0400	0.0000	6.8000
61.8600	1.4986	0.0000	0.0000	45.83	2.09	0.0600	0.0000	4.5833
63.6400	1.4609	0.0000	0.0000	40.83	1.86	0.1400	0.0000	3.2667
64.1200	1.4512	0.0000	0.0000	44.17	2.01	0.0600	0.0000	0.8833
64.3200	1.4471	0.0000	0.0000	40.83	1.86	0.1000	0.0000	0.8167
