Position	Dspace	ESD(P)	Corr.Fact	Intensity	Rel.Int.	FWHM(L)	ESD(L)	Area
[deg]	[A]	[deg]	[deg]	[CPS]	[CPS]	[deg]	[deg]	[deg]
2.6800	32.9387	0.0000	0.0000	69.17	3.28	0.0400	0.0000	5.5333
2.9200	30.2319	0.0000	0.0000	65.00	3.09	0.1400	0.0000	10.4000
3.0000	29.4259	0.0000	0.0000	70.00	3.32	0.1000	0.0000	5.6000
3.1000	28.4769	0.0000	0.0000	60.83	2.89	0.0600	0.0000	6.0833
3.3000	26.7515	0.0000	0.0000	75.83	3.60	0.0200	0.0000	6.0667
3.4400	25.6631	0.0000	0.0000	68.33	3.24	0.1200	0.0000	4.1000
3.6000	24.5228	0.0000	0.0000	69.17	3.28	0.1000	0.0000	5.5333
3.8800	22.7538	0.0000	0.0000	53.33	2.53	0.0600	0.0000	4.2667
4.1000	21.5333	0.0000	0.0000	41.67	1.98	0.0600	0.0000	4.1667
4.6200	19.1107	0.0000	0.0000	48.33	2.30	0.1600	0.0000	1.9333
4.6800	18.8659	0.0000	0.0000	54.17	2.57	0.1400	0.0000	1.0833
4.8000	18.3945	0.0000	0.0000	42.50	2.02	0.0800	0.0000	1.7000
5.5400	15.9390	0.0000	0.0000	44.17	2.10	0.1200	0.0000	0.0000
5.7600	15.3307	0.0000	0.0000	41.67	1.98	0.1400	0.0000	1.6667
5.9600	14.8167	0.0000	0.0000	144.17	6.85	0.1400	0.0000	20.1833
6.5800	13.4219	0.0000	0.0000	41.67	1.98	0.0600	0.0000	0.0000
8.6600	10.2023	0.0000	0.0000	440.00	20.89	0.0800	0.0000	35.2000
9.2400	9.5631	0.0000	0.0000	109.17	5.18	0.1000	0.0000	8.7333
10.3000	8.5812	0.0000	0.0000	246.67	11.71	0.0000	0.0000	24.6667
12.0000	7.3691	0.0000	0.0000	772.50	36.68	0.1000	0.0000	61.8000
12.1400	7.2844	0.0000	0.0000	345.00	16.38	0.1000	0.0000	55.2000
17.6000	5.0350	0.0000	0.0000	270.83	12.86	0.0400	0.0000	27.0833
18.3800	4.8230	0.0000	0.0000	254.17	12.07	0.1400	0.0000	30.5000
20.6400	4.2997	0.0000	0.0000	1237.50	58.77	0.1600	0.0000	74.2500
21.8400	4.0661	0.0000	0.0000	110.00	5.22	0.1200	0.0000	11.0000
22.8600	3.8870	0.0000	0.0000	47.50	2.26	0.1600	0.0000	2.8500
23.3200	3.8113	0.0000	0.0000	76.67	3.64	0.1600	0.0000	7.6667
23.6200	3.7636	0.0000	0.0000	77.50	3.68	0.1600	0.0000	3.1000
23.9600	3.7109	0.0000	0.0000	120.83	5.74	0.1400	0.0000	12.0833
24.4000	3.6450	0.0000	0.0000	601.67	28.57	0.0600	0.0000	84.2333
24.6000	3.6158	0.0000	0.0000	280.83	13.34	0.0000	0.0000	44.9333
24.9400	3.5673	0.0000	0.0000	213.33	10.13	0.0800	0.0000	29.8667
25.2000	3.5311	0.0000	0.0000	101.67	4.83	0.1000	0.0000	12.2000
25.4200	3.5010	0.0000	0.0000	181.67	8.63	0.1000	0.0000	18.1667
26.4200	3.3707	0.0000	0.0000	2105.83	100.00	0.0800	0.0000	210.5833
26.6600	3.3409	0.0000	0.0000	691.67	32.85	0.0800	0.0000	83.0000
27.2200	3.2734	0.0000	0.0000	182.50	8.67	0.1600	0.0000	18.2500
27.6200	3.2269	0.0000	0.0000	919.17	43.65	0.0800	0.0000	110.3000
28.1000	3.1729	0.0000	0.0000	155.00	7.36	0.0600	0.0000	15.5000
28.4800	3.1314	0.0000	0.0000	220.83	10.49	0.0800	0.0000	35.3333
29.7000	3.0055	0.0000	0.0000	43.33	2.06	0.0800	0.0000	6.9333
30.0400	2.9723	0.0000	0.0000	401.67	19.07	0.0800	0.0000	8.0333
30.2400	2.9531	0.0000	0.0000	71.67	3.40	0.0600	0.0000	8.6000
30.6400	2.9154	0.0000	0.0000	74.17	3.52	0.1200	0.0000	4.4500
31.0200	2.8806	0.0000	0.0000	96.67	4.59	0.1200	0.0000	15.4667
31.2000	2.8644	0.0000	0.0000	201.67	9.58	0.1000	0.0000	20.1667
32.0600	2.7895	0.0000	0.0000	150.83	7.16	0.0400	0.0000	15.0833
32.8800	2.7217	0.0000	0.0000	80.83	3.84	0.1000	0.0000	3.2333
34.7800	2.5773	0.0000	0.0000	44.17	2.10	0.0600	0.0000	5.3000
35.3200	2.5391	0.0000	0.0000	168.33	7.99	0.1000	0.0000	23.5667
35.8600	2.5021	0.0000	0.0000	41.67	1.98	0.0600	0.0000	5.8333
36.3400	2.4701	0.0000	0.0000	135.83	6.45	0.1600	0.0000	8.1500
36.9400	2.4314	0.0000	0.0000	58.33	2.77	0.0800	0.0000	4.6667
37.5400	2.3939	0.0000	0.0000	55.00	2.61	0.1600	0.0000	8.8000
37.8800	2.3732	0.0000	0.0000	288.33	13.69	0.0200	0.0000	40.3667
