Position	Dspace	ESD(P)	Corr.Fact	Intensity	Rel.Int.	FWHM(L)	ESD(L)	Area
[deg]	[A]	[deg]	[deg]	[CPS]	[CPS]	[deg]	[deg]	[deg]
2.7800	31.7541	0.0000	0.0000	52.50	2.40	0.1000	0.0000	1.0500
3.0400	29.0388	0.0000	0.0000	51.67	2.36	0.0000	0.0000	2.0667
3.3600	26.2739	0.0000	0.0000	60.83	2.78	0.1400	0.0000	1.2167
3.4800	25.3682	0.0000	0.0000	44.17	2.02	0.1400	0.0000	5.3000
3.6800	23.9899	0.0000	0.0000	56.67	2.59	0.1000	0.0000	0.0000
3.9600	22.2943	0.0000	0.0000	46.67	2.13	0.1600	0.0000	0.9333
4.1000	21.5333	0.0000	0.0000	37.50	1.72	0.1600	0.0000	2.2500
4.2200	20.9212	0.0000	0.0000	35.00	1.60	0.0200	0.0000	3.5000
4.4200	19.9750	0.0000	0.0000	28.33	1.30	0.1600	0.0000	0.5667
4.6800	18.8659	0.0000	0.0000	35.00	1.60	0.1000	0.0000	2.1000
4.8400	18.2426	0.0000	0.0000	35.00	1.60	0.1400	0.0000	0.0000
5.1000	17.3131	0.0000	0.0000	28.33	1.30	0.1600	0.0000	2.2667
5.2400	16.8509	0.0000	0.0000	27.50	1.26	0.0800	0.0000	1.1000
5.3600	16.4739	0.0000	0.0000	25.00	1.14	0.0600	0.0000	2.0000
5.5400	15.9390	0.0000	0.0000	42.50	1.94	0.0400	0.0000	0.0000
5.7200	15.4378	0.0000	0.0000	32.50	1.49	0.1000	0.0000	0.0000
6.2800	14.0624	0.0000	0.0000	132.50	6.06	0.0000	0.0000	21.2000
6.6000	13.3813	0.0000	0.0000	35.83	1.64	0.1600	0.0000	5.0167
6.7600	13.0649	0.0000	0.0000	56.67	2.59	0.0000	0.0000	1.1333
6.9400	12.7265	0.0000	0.0000	57.50	2.63	0.1400	0.0000	0.0000
7.1000	12.4400	0.0000	0.0000	63.33	2.90	0.0000	0.0000	6.3333
7.2600	12.1662	0.0000	0.0000	40.83	1.87	0.1200	0.0000	6.5333
7.5800	11.6533	0.0000	0.0000	30.00	1.37	0.1200	0.0000	3.0000
7.6800	11.5018	0.0000	0.0000	32.50	1.49	0.0600	0.0000	1.3000
8.0400	10.9876	0.0000	0.0000	33.33	1.52	0.1600	0.0000	3.3333
8.2000	10.7735	0.0000	0.0000	30.00	1.37	0.0800	0.0000	0.0000
8.9200	9.9055	0.0000	0.0000	900.83	41.21	0.0200	0.0000	126.1167
9.5000	9.3020	0.0000	0.0000	70.83	3.24	0.0400	0.0000	11.3333
10.5600	8.3705	0.0000	0.0000	76.67	3.51	0.1000	0.0000	10.7333
11.5800	7.6354	0.0000	0.0000	25.83	1.18	0.0200	0.0000	0.0000
