Position	Dspace	ESD(P)	Corr.Fact	Intensity	Rel.Int.	FWHM(L)	ESD(L)	Area
[deg]	[A]	[deg]	[deg]	[CPS]	[CPS]	[deg]	[deg]	[deg]
35.5000	2.5266	0.0000	0.0000	75.83	2.80	0.0000	0.0000	10.6167
35.7800	2.5075	0.0000	0.0000	30.00	1.11	0.1000	0.0000	0.0000
36.1000	2.4860	0.0000	0.0000	49.17	1.82	0.1200	0.0000	5.9000
36.5000	2.4597	0.0000	0.0000	328.33	12.13	0.0200	0.0000	13.1333
36.9400	2.4314	0.0000	0.0000	30.83	1.14	0.0000	0.0000	0.6167
37.1000	2.4213	0.0000	0.0000	20.00	0.74	0.1400	0.0000	1.2000
37.3600	2.4050	0.0000	0.0000	41.67	1.54	0.0000	0.0000	3.3333
37.7200	2.3829	0.0000	0.0000	57.50	2.12	0.0200	0.0000	6.9000
38.5200	2.3352	0.0000	0.0000	28.33	1.05	0.0200	0.0000	0.5667
38.8000	2.3190	0.0000	0.0000	25.00	0.92	0.1000	0.0000	1.5000
39.4200	2.2839	0.0000	0.0000	146.67	5.42	0.0400	0.0000	8.8000
39.8200	2.2619	0.0000	0.0000	28.33	1.05	0.1200	0.0000	2.2667
40.2400	2.2393	0.0000	0.0000	94.17	3.48	0.0600	0.0000	7.5333
41.6800	2.1652	0.0000	0.0000	50.00	1.85	0.0800	0.0000	7.0000
41.9200	2.1533	0.0000	0.0000	25.00	0.92	0.0800	0.0000	4.0000
42.4200	2.1291	0.0000	0.0000	120.83	4.46	0.0000	0.0000	9.6667
43.5400	2.0769	0.0000	0.0000	26.67	0.99	0.1600	0.0000	2.1333
43.8800	2.0616	0.0000	0.0000	20.83	0.77	0.0600	0.0000	0.4167
44.5400	2.0326	0.0000	0.0000	98.33	3.63	0.0600	0.0000	15.7333
44.9000	2.0171	0.0000	0.0000	36.67	1.35	0.1600	0.0000	5.8667
45.0400	2.0111	0.0000	0.0000	30.00	1.11	0.1200	0.0000	4.8000
45.5400	1.9902	0.0000	0.0000	170.83	6.31	0.0800	0.0000	27.3333
45.7400	1.9820	0.0000	0.0000	215.00	7.94	0.0600	0.0000	21.5000
