Position	Dspace	ESD(P)	Corr.Fact	Intensity	Rel.Int.	FWHM(L)	ESD(L)	Area
[deg]	[A]	[deg]	[deg]	[CPS]	[CPS]	[deg]	[deg]	[deg]
2.6400	33.4377	0.0000	0.0000	70.00	3.75	0.1000	0.0000	4.2000
2.6800	32.9387	0.0000	0.0000	60.83	3.26	0.0200	0.0000	9.7333
2.8600	30.8660	0.0000	0.0000	64.17	3.44	0.0600	0.0000	10.2667
3.1400	28.1142	0.0000	0.0000	54.17	2.90	0.1600	0.0000	2.1667
3.2400	27.2467	0.0000	0.0000	62.50	3.35	0.1600	0.0000	8.7500
3.3600	26.2739	0.0000	0.0000	61.67	3.31	0.0400	0.0000	0.0000
3.6000	24.5228	0.0000	0.0000	47.50	2.55	0.0600	0.0000	6.6500
3.7000	23.8603	0.0000	0.0000	78.33	4.20	0.1600	0.0000	1.5667
3.7600	23.4797	0.0000	0.0000	55.83	2.99	0.1200	0.0000	0.0000
3.9000	22.6371	0.0000	0.0000	47.50	2.55	0.1600	0.0000	3.8000
4.0600	21.7454	0.0000	0.0000	43.33	2.32	0.0800	0.0000	6.0667
4.2000	21.0208	0.0000	0.0000	43.33	2.32	0.0400	0.0000	0.8667
4.8600	18.1675	0.0000	0.0000	45.83	2.46	0.0800	0.0000	3.6667
5.6200	15.7123	0.0000	0.0000	42.50	2.28	0.0400	0.0000	2.5500
5.7400	15.3841	0.0000	0.0000	58.33	3.13	0.0400	0.0000	4.6667
6.1200	14.4297	0.0000	0.0000	520.83	27.91	0.0800	0.0000	72.9167
6.4800	13.6288	0.0000	0.0000	58.33	3.13	0.1000	0.0000	4.6667
6.7200	13.1426	0.0000	0.0000	40.00	2.14	0.1200	0.0000	0.0000
8.8400	9.9949	0.0000	0.0000	899.17	48.19	0.1400	0.0000	71.9333
9.1600	9.6465	0.0000	0.0000	104.17	5.58	0.1000	0.0000	6.2500
9.4200	9.3808	0.0000	0.0000	240.00	12.86	0.0600	0.0000	14.4000
10.5200	8.4023	0.0000	0.0000	201.67	10.81	0.0800	0.0000	12.1000
12.1600	7.2725	0.0000	0.0000	1865.83	100.00	0.0600	0.0000	111.9500
12.3000	7.1900	0.0000	0.0000	747.50	40.06	0.0200	0.0000	119.6000
12.4400	7.1094	0.0000	0.0000	623.33	33.41	0.0000	0.0000	74.8000
13.6200	6.4960	0.0000	0.0000	40.00	2.14	0.0600	0.0000	3.2000
13.8400	6.3933	0.0000	0.0000	51.67	2.77	0.1600	0.0000	8.2667
17.7800	4.9844	0.0000	0.0000	376.67	20.19	0.0600	0.0000	37.6667
18.5000	4.7920	0.0000	0.0000	316.67	16.97	0.0800	0.0000	31.6667
18.7200	4.7362	0.0000	0.0000	275.83	14.78	0.0600	0.0000	44.1333
18.9400	4.6817	0.0000	0.0000	54.17	2.90	0.1600	0.0000	6.5000
20.8200	4.2630	0.0000	0.0000	285.00	15.27	0.0800	0.0000	22.8000
22.0200	4.0333	0.0000	0.0000	109.17	5.85	0.0800	0.0000	8.7333
22.8600	3.8870	0.0000	0.0000	46.67	2.50	0.1600	0.0000	4.6667
23.0400	3.8570	0.0000	0.0000	41.67	2.23	0.1400	0.0000	1.6667
23.5000	3.7825	0.0000	0.0000	76.67	4.11	0.1000	0.0000	7.6667
23.8000	3.7355	0.0000	0.0000	43.33	2.32	0.1000	0.0000	3.4667
24.2400	3.6687	0.0000	0.0000	102.50	5.49	0.0400	0.0000	8.2000
24.5800	3.6187	0.0000	0.0000	955.83	51.23	0.0000	0.0000	152.9333
25.0800	3.5477	0.0000	0.0000	440.83	23.63	0.0200	0.0000	70.5333
25.5400	3.4848	0.0000	0.0000	151.67	8.13	0.1600	0.0000	24.2667
26.5800	3.3508	0.0000	0.0000	1589.17	85.17	0.1600	0.0000	158.9167
26.8600	3.3165	0.0000	0.0000	1155.83	61.95	0.0400	0.0000	138.7000
27.4800	3.2431	0.0000	0.0000	501.67	26.89	0.1400	0.0000	50.1667
27.8600	3.1997	0.0000	0.0000	361.67	19.38	0.0800	0.0000	57.8667
28.0800	3.1751	0.0000	0.0000	217.50	11.66	0.1200	0.0000	21.7500
28.5800	3.1207	0.0000	0.0000	330.00	17.69	0.1400	0.0000	39.6000
29.8000	2.9957	0.0000	0.0000	99.17	5.31	0.1000	0.0000	13.8833
30.2000	2.9569	0.0000	0.0000	65.00	3.48	0.1400	0.0000	10.4000
30.5000	2.9285	0.0000	0.0000	52.50	2.81	0.0800	0.0000	3.1500
30.9000	2.8915	0.0000	0.0000	77.50	4.15	0.1600	0.0000	10.8500
31.1600	2.8679	0.0000	0.0000	104.17	5.58	0.0800	0.0000	16.6667
31.4800	2.8395	0.0000	0.0000	84.17	4.51	0.0800	0.0000	13.4667
33.0800	2.7057	0.0000	0.0000	137.50	7.37	0.1200	0.0000	5.5000
34.5600	2.5932	0.0000	0.0000	1311.67	70.30	0.1600	0.0000	26.2333
34.9000	2.5687	0.0000	0.0000	74.17	3.97	0.1600	0.0000	10.3833
35.1400	2.5517	0.0000	0.0000	59.17	3.17	0.1400	0.0000	5.9167
35.6000	2.5198	0.0000	0.0000	965.83	51.76	0.1400	0.0000	38.6333
36.1000	2.4860	0.0000	0.0000	74.17	3.97	0.1000	0.0000	10.3833
36.5000	2.4597	0.0000	0.0000	255.00	13.67	0.0600	0.0000	30.6000
36.7000	2.4467	0.0000	0.0000	311.67	16.70	0.0000	0.0000	37.4000
37.2000	2.4150	0.0000	0.0000	62.50	3.35	0.1600	0.0000	7.5000
37.5400	2.3939	0.0000	0.0000	46.67	2.50	0.1000	0.0000	7.4667
37.6400	2.3878	0.0000	0.0000	50.83	2.72	0.1000	0.0000	8.1333
39.4000	2.2851	0.0000	0.0000	69.17	3.71	0.1200	0.0000	5.5333
40.2600	2.2382	0.0000	0.0000	173.33	9.29	0.1000	0.0000	6.9333
41.7200	2.1632	0.0000	0.0000	76.67	4.11	0.1600	0.0000	12.2667
42.4000	2.1301	0.0000	0.0000	88.33	4.73	0.0800	0.0000	12.3667
43.6000	2.0742	0.0000	0.0000	74.17	3.97	0.1200	0.0000	7.4167
44.9000	2.0171	0.0000	0.0000	40.00	2.14	0.1000	0.0000	4.8000
45.0600	2.0103	0.0000	0.0000	45.83	2.46	0.0600	0.0000	5.5000
45.5800	1.9886	0.0000	0.0000	392.50	21.04	0.0800	0.0000	62.8000
47.1200	1.9271	0.0000	0.0000	40.00	2.14	0.1000	0.0000	2.4000
49.7200	1.8322	0.0000	0.0000	50.83	2.72	0.1400	0.0000	5.0833
49.9000	1.8261	0.0000	0.0000	55.00	2.95	0.1200	0.0000	8.8000
50.1000	1.8192	0.0000	0.0000	277.50	14.87	0.0600	0.0000	22.2000
50.5800	1.8031	0.0000	0.0000	180.00	9.65	0.1600	0.0000	10.8000
51.1400	1.7847	0.0000	0.0000	57.50	3.08	0.1400	0.0000	4.6000
51.2600	1.7808	0.0000	0.0000	54.17	2.90	0.1200	0.0000	5.4167
54.3400	1.6869	0.0000	0.0000	45.83	2.46	0.0800	0.0000	1.8333
54.8200	1.6732	0.0000	0.0000	64.17	3.44	0.1600	0.0000	5.1333
58.9600	1.5652	0.0000	0.0000	50.00	2.68	0.1200	0.0000	2.0000
59.1800	1.5599	0.0000	0.0000	50.00	2.68	0.1200	0.0000	7.0000
59.9000	1.5429	0.0000	0.0000	235.00	12.59	0.1600	0.0000	18.8000
60.0800	1.5387	0.0000	0.0000	159.17	8.53	0.1000	0.0000	15.9167
61.5800	1.5048	0.0000	0.0000	40.83	2.19	0.0800	0.0000	4.0833
64.0000	1.4536	0.0000	0.0000	63.33	3.39	0.1400	0.0000	3.8000
64.1800	1.4499	0.0000	0.0000	51.67	2.77	0.0400	0.0000	6.2000
