,,,,,,,,,,,
Filename:,,,,,,,,,,,
,C:\Program,Files\Thermo,Electron\WinXRD\Datafiles\HERMAN\GEO\GS_06_RT.pk,,,,,,,,
,,,,,,,,,,,
File,Created:,,,,,,,,,,
,July,13,2018,-,02:17,PM,,,,,
,,,,,,,,,,,
Specimen,Id:,,,,,,,,,,
,GS-06,RT,,,,,,,,,
,,,,,,,,,,,
Specimen,Name:,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Specimen,Description:,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Comment:,,,,,,,,,,,
Scan,Type:,2Theta,Scan,,,,,,,,
Start,Angle:,1,deg.,,,,,,,,
Stop,Angle:,65,deg.,,,,,,,,
Num,Points:,3201,,,,,,,,,
Step,Size:,0.02,deg.,,,,,,,,
Scan,Rate:,1.000000,,,,,,,,,
Scan,Mode:,Continuous,,,,,,,,,
Wavelength:,1.540562,,,,,,,,,,
\Kalpha1:,1.540562,\Kalpha2:,1.544390,\Kbeta:,1.392218,,,,,,
,,,,,,,,,,,
Optics:,,,,,,,,,,,
,26.5800,3.3508,0.0000,0.0000,1599.17,52.95,0.0400,0.0000,0.0000,0.0000,127.9333
,26.8400,3.3189,0.0000,0.0000,303.33,10.04,0.0200,0.0000,0.0000,0.0000,36.4000
,27.2800,3.2664,0.0000,0.0000,61.67,2.04,0.0800,0.0000,0.0000,0.0000,6.1667
,27.3600,3.2570,0.0000,0.0000,55.83,1.85,0.0600,0.0000,0.0000,0.0000,5.5833
,27.8600,3.1997,0.0000,0.0000,3020.00,100.00,0.0800,0.0000,0.0000,0.0000,241.6000
,28.3000,3.1509,0.0000,0.0000,56.67,1.88,0.0800,0.0000,0.0000,0.0000,5.6667
,28.5600,3.1228,0.0000,0.0000,675.00,22.35,0.1600,0.0000,0.0000,0.0000,81.0000
,29.1600,3.0599,0.0000,0.0000,160.00,5.30,0.0600,0.0000,0.0000,0.0000,6.4000
,29.5400,3.0214,0.0000,0.0000,188.33,6.24,0.0600,0.0000,0.0000,0.0000,22.6000
,29.8000,2.9957,0.0000,0.0000,104.17,3.45,0.0800,0.0000,0.0000,0.0000,4.1667
,30.1800,2.9588,0.0000,0.0000,115.83,3.84,0.1000,0.0000,0.0000,0.0000,4.6333
,30.3400,2.9436,0.0000,0.0000,85.00,2.81,0.1200,0.0000,0.0000,0.0000,13.6000
,30.8000,2.9006,0.0000,0.0000,445.00,14.74,0.0400,0.0000,0.0000,0.0000,44.5000
,31.1200,2.8715,0.0000,0.0000,50.83,1.68,0.0600,0.0000,0.0000,0.0000,4.0667
,31.9400,2.7997,0.0000,0.0000,73.33,2.43,0.1000,0.0000,0.0000,0.0000,5.8667
,32.1800,2.7793,0.0000,0.0000,322.50,10.68,0.0200,0.0000,0.0000,0.0000,19.3500
,32.5200,2.7510,0.0000,0.0000,127.50,4.22,0.1200,0.0000,0.0000,0.0000,2.5500
,33.0000,2.7121,0.0000,0.0000,170.83,5.66,0.0800,0.0000,0.0000,0.0000,10.2500
,33.4000,2.6805,0.0000,0.0000,47.50,1.57,0.0400,0.0000,0.0000,0.0000,3.8000
,34.4800,2.5990,0.0000,0.0000,73.33,2.43,0.1000,0.0000,0.0000,0.0000,7.3333
,35.0600,2.5573,0.0000,0.0000,47.50,1.57,0.0400,0.0000,0.0000,0.0000,4.7500
,35.4800,2.5280,0.0000,0.0000,252.50,8.36,0.1200,0.0000,0.0000,0.0000,40.4000
,36.4800,2.4610,0.0000,0.0000,223.33,7.40,0.0000,0.0000,0.0000,0.0000,13.4000
,37.1200,2.4200,0.0000,0.0000,61.67,2.04,0.0400,0.0000,0.0000,0.0000,7.4000
,37.5000,2.3963,0.0000,0.0000,80.83,2.68,0.1600,0.0000,0.0000,0.0000,12.9333
