Position	Dspace	ESD(P)	Corr.Fact	Intensity	Rel.Int.	FWHM(L)	ESD(L)	FWHM(R)	ESD(R)	Area
[deg]	[A]	[deg]	[deg]	[CPS]	[CPS]	[deg]	[deg]	[deg]	[deg]	[deg]
26.8200	3.3214	0.0000	0.0000	163.33	7.71	0.0200	0.0000	0.0000	0.0000	22.8667
27.2600	3.2687	0.0000	0.0000	135.83	6.41	0.1000	0.0000	0.0000	0.0000	21.7333
27.8600	3.1997	0.0000	0.0000	2117.50	100.00	0.0400	0.0000	0.0000	0.0000	211.7500
28.6400	3.1143	0.0000	0.0000	517.50	24.44	0.0200	0.0000	0.0000	0.0000	82.8000
29.4200	3.0335	0.0000	0.0000	47.50	2.24	0.1400	0.0000	0.0000	0.0000	3.8000
29.7400	3.0016	0.0000	0.0000	35.00	1.65	0.0800	0.0000	0.0000	0.0000	3.5000
30.0600	2.9703	0.0000	0.0000	58.33	2.75	0.1000	0.0000	0.0000	0.0000	3.5000
30.4000	2.9379	0.0000	0.0000	210.00	9.92	0.0000	0.0000	0.0000	0.0000	25.2000
30.7800	2.9025	0.0000	0.0000	203.33	9.60	0.0600	0.0000	0.0000	0.0000	20.3333
31.2000	2.8644	0.0000	0.0000	88.33	4.17	0.1600	0.0000	0.0000	0.0000	7.0667
31.5200	2.8360	0.0000	0.0000	83.33	3.94	0.1000	0.0000	0.0000	0.0000	11.6667
31.9400	2.7997	0.0000	0.0000	123.33	5.82	0.0600	0.0000	0.0000	0.0000	19.7333
33.0200	2.7105	0.0000	0.0000	353.33	16.69	0.0400	0.0000	0.0000	0.0000	42.4000
33.3200	2.6868	0.0000	0.0000	98.33	4.64	0.0800	0.0000	0.0000	0.0000	3.9333
33.8200	2.6482	0.0000	0.0000	74.17	3.50	0.1000	0.0000	0.0000	0.0000	7.4167
34.5200	2.5961	0.0000	0.0000	165.00	7.79	0.0200	0.0000	0.0000	0.0000	13.2000
34.9400	2.5658	0.0000	0.0000	70.83	3.35	0.0600	0.0000	0.0000	0.0000	5.6667
35.4200	2.5322	0.0000	0.0000	283.33	13.38	0.0000	0.0000	0.0000	0.0000	34.0000
36.5000	2.4597	0.0000	0.0000	107.50	5.08	0.0800	0.0000	0.0000	0.0000	12.9000
36.9200	2.4327	0.0000	0.0000	35.83	1.69	0.0800	0.0000	0.0000	0.0000	0.7167
37.4000	2.4025	0.0000	0.0000	101.67	4.80	0.0200	0.0000	0.0000	0.0000	8.1333
37.6400	2.3878	0.0000	0.0000	93.33	4.41	0.0800	0.0000	0.0000	0.0000	11.2000
37.9000	2.3720	0.0000	0.0000	108.33	5.12	0.0800	0.0000	0.0000	0.0000	6.5000
38.6600	2.3271	0.0000	0.0000	84.17	3.97	0.1200	0.0000	0.0000	0.0000	11.7833
38.7600	2.3213	0.0000	0.0000	80.00	3.78	0.0800	0.0000	0.0000	0.0000	12.8000
39.2600	2.2929	0.0000	0.0000	52.50	2.48	0.1400	0.0000	0.0000	0.0000	8.4000
39.4200	2.2839	0.0000	0.0000	128.33	6.06	0.0000	0.0000	0.0000	0.0000	15.4000
40.2600	2.2382	0.0000	0.0000	44.17	2.09	0.0800	0.0000	0.0000	0.0000	2.6500
41.7400	2.1622	0.0000	0.0000	122.50	5.79	0.0800	0.0000	0.0000	0.0000	19.6000
42.4000	2.1301	0.0000	0.0000	115.83	5.47	0.0600	0.0000	0.0000	0.0000	6.9500
42.7800	2.1120	0.0000	0.0000	52.50	2.48	0.0600	0.0000	0.0000	0.0000	8.4000
42.9200	2.1054	0.0000	0.0000	46.67	2.20	0.1200	0.0000	0.0000	0.0000	3.7333
44.0800	2.0527	0.0000	0.0000	57.50	2.72	0.0800	0.0000	0.0000	0.0000	2.3000
44.1800	2.0483	0.0000	0.0000	46.67	2.20	0.1000	0.0000	0.0000	0.0000	6.5333
44.6800	2.0265	0.0000	0.0000	38.33	1.81	0.0800	0.0000	0.0000	0.0000	1.5333
44.9400	2.0154	0.0000	0.0000	95.00	4.49	0.0800	0.0000	0.0000	0.0000	11.4000
45.4400	1.9944	0.0000	0.0000	64.17	3.03	0.0800	0.0000	0.0000	0.0000	10.2667
45.5400	1.9902	0.0000	0.0000	75.00	3.54	0.1400	0.0000	0.0000	0.0000	9.0000
45.7600	1.9812	0.0000	0.0000	60.83	2.87	0.1200	0.0000	0.0000	0.0000	6.0833
46.4200	1.9545	0.0000	0.0000	41.67	1.97	0.0600	0.0000	0.0000	0.0000	5.0000
47.1200	1.9271	0.0000	0.0000	40.83	1.93	0.1600	0.0000	0.0000	0.0000	6.5333
48.1000	1.8901	0.0000	0.0000	61.67	2.91	0.1600	0.0000	0.0000	0.0000	7.4000
48.4800	1.8762	0.0000	0.0000	97.50	4.60	0.0800	0.0000	0.0000	0.0000	7.8000
48.6400	1.8704	0.0000	0.0000	82.50	3.90	0.1400	0.0000	0.0000	0.0000	8.2500
48.7600	1.8661	0.0000	0.0000	37.50	1.77	0.1000	0.0000	0.0000	0.0000	3.7500
49.8600	1.8274	0.0000	0.0000	46.67	2.20	0.1200	0.0000	0.0000	0.0000	6.5333
50.0800	1.8199	0.0000	0.0000	147.50	6.97	0.0800	0.0000	0.0000	0.0000	8.8500
50.2400	1.8145	0.0000	0.0000	82.50	3.90	0.1400	0.0000	0.0000	0.0000	4.9500
50.5600	1.8038	0.0000	0.0000	82.50	3.90	0.1000	0.0000	0.0000	0.0000	9.9000
51.1200	1.7853	0.0000	0.0000	55.00	2.60	0.1200	0.0000	0.0000	0.0000	8.8000
52.5400	1.7403	0.0000	0.0000	35.00	1.65	0.0800	0.0000	0.0000	0.0000	0.7000
53.1600	1.7215	0.0000	0.0000	50.00	2.36	0.1600	0.0000	0.0000	0.0000	2.0000
53.8600	1.7008	0.0000	0.0000	38.33	1.81	0.0800	0.0000	0.0000	0.0000	0.0000
54.2200	1.6903	0.0000	0.0000	38.33	1.81	0.0800	0.0000	0.0000	0.0000	0.7667
54.7800	1.6744	0.0000	0.0000	53.33	2.52	0.0200	0.0000	0.0000	0.0000	4.2667
54.9800	1.6687	0.0000	0.0000	77.50	3.66	0.0800	0.0000	0.0000	0.0000	6.2000
55.8000	1.6461	0.0000	0.0000	101.67	4.80	0.1000	0.0000	0.0000	0.0000	8.1333
56.1800	1.6359	0.0000	0.0000	161.67	7.63	0.0400	0.0000	0.0000	0.0000	9.7000
57.0600	1.6128	0.0000	0.0000	77.50	3.66	0.1200	0.0000	0.0000	0.0000	7.7500
58.1400	1.5853	0.0000	0.0000	51.67	2.44	0.1600	0.0000	0.0000	0.0000	2.0667
58.3000	1.5814	0.0000	0.0000	65.83	3.11	0.1000	0.0000	0.0000	0.0000	6.5833
58.6000	1.5740	0.0000	0.0000	120.00	5.67	0.1000	0.0000	0.0000	0.0000	9.6000
58.7400	1.5706	0.0000	0.0000	71.67	3.38	0.1000	0.0000	0.0000	0.0000	5.7333
59.3800	1.5552	0.0000	0.0000	42.50	2.01	0.1400	0.0000	0.0000	0.0000	0.0000
59.9000	1.5429	0.0000	0.0000	91.67	4.33	0.0800	0.0000	0.0000	0.0000	7.3333
60.0600	1.5392	0.0000	0.0000	56.67	2.68	0.0800	0.0000	0.0000	0.0000	4.5333
60.5400	1.5281	0.0000	0.0000	80.00	3.78	0.1600	0.0000	0.0000	0.0000	1.6000
60.6400	1.5258	0.0000	0.0000	50.00	2.36	0.0600	0.0000	0.0000	0.0000	8.0000
61.5200	1.5061	0.0000	0.0000	36.67	1.73	0.0400	0.0000	0.0000	0.0000	3.6667
