Position	Dspace	ESD(P)	Corr.Fact	Intensity	Rel.Int.	FWHM(L)	ESD(L)	FWHM(R)	ESD(R)	Area
[deg]	[A]	[deg]	[deg]	[CPS]	[CPS]	[deg]	[deg]	[deg]	[deg]	[deg]
24.5800	3.6187	0.0000	0.0000	41.67	0.60	0.1600	0.0000	0.0000	0.0000	2.5000
25.6800	3.4662	0.0000	0.0000	280.83	4.06	0.0800	0.0000	0.0000	0.0000	33.7000
26.6600	3.3409	0.0000	0.0000	6920.00	100.00	0.0600	0.0000	0.0000	0.0000	692.0000
27.5200	3.2384	0.0000	0.0000	2610.00	37.72	0.1400	0.0000	0.0000	0.0000	313.2000
27.9600	3.1885	0.0000	0.0000	1315.00	19.00	0.0600	0.0000	0.0000	0.0000	184.1000
29.8600	2.9898	0.0000	0.0000	195.83	2.83	0.0400	0.0000	0.0000	0.0000	31.3333
30.1200	2.9646	0.0000	0.0000	133.33	1.93	0.0800	0.0000	0.0000	0.0000	21.3333
30.5400	2.9247	0.0000	0.0000	146.67	2.12	0.0000	0.0000	0.0000	0.0000	20.5333
30.8800	2.8933	0.0000	0.0000	103.33	1.49	0.0000	0.0000	0.0000	0.0000	12.4000
31.2600	2.8590	0.0000	0.0000	125.00	1.81	0.0200	0.0000	0.0000	0.0000	17.5000
32.0600	2.7895	0.0000	0.0000	63.33	0.92	0.0800	0.0000	0.0000	0.0000	10.1333
32.3400	2.7659	0.0000	0.0000	84.17	1.22	0.0200	0.0000	0.0000	0.0000	13.4667
33.5600	2.6681	0.0000	0.0000	50.83	0.73	0.1600	0.0000	0.0000	0.0000	2.0333
33.9400	2.6391	0.0000	0.0000	41.67	0.60	0.0800	0.0000	0.0000	0.0000	5.0000
34.3200	2.6108	0.0000	0.0000	45.00	0.65	0.0800	0.0000	0.0000	0.0000	3.6000
34.5400	2.5946	0.0000	0.0000	44.17	0.64	0.0600	0.0000	0.0000	0.0000	7.0667
35.0600	2.5573	0.0000	0.0000	134.17	1.94	0.0400	0.0000	0.0000	0.0000	21.4667
35.7000	2.5129	0.0000	0.0000	59.17	0.86	0.1000	0.0000	0.0000	0.0000	9.4667
36.0400	2.4900	0.0000	0.0000	80.00	1.16	0.1600	0.0000	0.0000	0.0000	4.8000
36.5600	2.4558	0.0000	0.0000	358.33	5.18	0.0400	0.0000	0.0000	0.0000	21.5000
37.4600	2.3988	0.0000	0.0000	55.83	0.81	0.1400	0.0000	0.0000	0.0000	8.9333
37.6400	2.3878	0.0000	0.0000	72.50	1.05	0.0800	0.0000	0.0000	0.0000	10.1500
38.7000	2.3248	0.0000	0.0000	46.67	0.67	0.1600	0.0000	0.0000	0.0000	3.7333
38.8600	2.3156	0.0000	0.0000	45.00	0.65	0.1200	0.0000	0.0000	0.0000	7.2000
39.2600	2.2929	0.0000	0.0000	36.67	0.53	0.0800	0.0000	0.0000	0.0000	0.0000
39.5000	2.2795	0.0000	0.0000	302.50	4.37	0.0400	0.0000	0.0000	0.0000	18.1500
40.1200	2.2457	0.0000	0.0000	36.67	0.53	0.0000	0.0000	0.0000	0.0000	0.0000
40.3200	2.2350	0.0000	0.0000	234.17	3.38	0.0800	0.0000	0.0000	0.0000	9.3667
41.2600	2.1862	0.0000	0.0000	41.67	0.60	0.1400	0.0000	0.0000	0.0000	5.8333
41.7200	2.1632	0.0000	0.0000	245.00	3.54	0.0000	0.0000	0.0000	0.0000	24.5000
42.5000	2.1253	0.0000	0.0000	276.67	4.00	0.0200	0.0000	0.0000	0.0000	38.7333
42.9600	2.1036	0.0000	0.0000	36.67	0.53	0.1400	0.0000	0.0000	0.0000	0.0000
