Position	Dspace	ESD(P)	Corr.Fact	Intensity	Rel.Int.	FWHM(L)	ESD(L)	FWHM(R)	ESD(R)	Area
[deg]	[A]	[deg]	[deg]	[CPS]	[CPS]	[deg]	[deg]	[deg]	[deg]	[deg]
2.7000	32.6948	0.0000	0.0000	106.67	0.81	0.1000	0.0000	0.0000	0.0000	2.1333
2.8600	30.8660	0.0000	0.0000	73.33	0.56	0.1200	0.0000	0.0000	0.0000	5.8667
3.0400	29.0388	0.0000	0.0000	73.33	0.56	0.1600	0.0000	0.0000	0.0000	4.4000
3.2200	27.4159	0.0000	0.0000	71.67	0.54	0.1200	0.0000	0.0000	0.0000	7.1667
3.4000	25.9649	0.0000	0.0000	60.83	0.46	0.1200	0.0000	0.0000	0.0000	6.0833
3.5200	25.0800	0.0000	0.0000	66.67	0.50	0.1200	0.0000	0.0000	0.0000	5.3333
3.7000	23.8603	0.0000	0.0000	65.83	0.50	0.0800	0.0000	0.0000	0.0000	7.9000
4.3200	20.4372	0.0000	0.0000	63.33	0.48	0.1600	0.0000	0.0000	0.0000	1.2667
11.6200	7.6092	0.0000	0.0000	85.00	0.64	0.1000	0.0000	0.0000	0.0000	3.4000
12.1200	7.2964	0.0000	0.0000	13205.83	100.00	0.0200	0.0000	0.0000	0.0000	792.3500
12.5600	7.0418	0.0000	0.0000	140.83	1.07	0.1200	0.0000	0.0000	0.0000	22.5333
13.1800	6.7119	0.0000	0.0000	95.83	0.73	0.0600	0.0000	0.0000	0.0000	15.3333
13.2800	6.6616	0.0000	0.0000	100.83	0.76	0.0200	0.0000	0.0000	0.0000	16.1333
17.2600	5.1334	0.0000	0.0000	364.17	2.76	0.1600	0.0000	0.0000	0.0000	21.8500
20.5600	4.3163	0.0000	0.0000	72.50	0.55	0.1600	0.0000	0.0000	0.0000	2.9000
22.8000	3.8971	0.0000	0.0000	1081.67	8.19	0.0600	0.0000	0.0000	0.0000	86.5333
23.7800	3.7386	0.0000	0.0000	135.00	1.02	0.0600	0.0000	0.0000	0.0000	8.1000
24.5200	3.6274	0.0000	0.0000	6781.67	51.35	0.0800	0.0000	0.0000	0.0000	949.4333
25.4600	3.4956	0.0000	0.0000	280.00	2.12	0.0800	0.0000	0.0000	0.0000	28.0000
29.5600	3.0194	0.0000	0.0000	77.50	0.59	0.0600	0.0000	0.0000	0.0000	7.7500
29.7200	3.0035	0.0000	0.0000	80.83	0.61	0.0600	0.0000	0.0000	0.0000	12.9333
32.2200	2.7760	0.0000	0.0000	727.50	5.51	0.1200	0.0000	0.0000	0.0000	72.7500
34.7800	2.5773	0.0000	0.0000	65.83	0.50	0.0800	0.0000	0.0000	0.0000	2.6333
35.6000	2.5198	0.0000	0.0000	1055.00	7.99	0.1000	0.0000	0.0000	0.0000	126.6000
36.4200	2.4649	0.0000	0.0000	697.50	5.28	0.0200	0.0000	0.0000	0.0000	41.8500
37.0800	2.4225	0.0000	0.0000	393.33	2.98	0.1600	0.0000	0.0000	0.0000	55.0667
38.2000	2.3540	0.0000	0.0000	212.50	1.61	0.1000	0.0000	0.0000	0.0000	8.5000
39.6000	2.2740	0.0000	0.0000	864.17	6.54	0.0800	0.0000	0.0000	0.0000	34.5667
39.9600	2.2543	0.0000	0.0000	373.33	2.83	0.1600	0.0000	0.0000	0.0000	14.9333
40.5000	2.2255	0.0000	0.0000	78.33	0.59	0.0800	0.0000	0.0000	0.0000	9.4000
41.6800	2.1652	0.0000	0.0000	315.83	2.39	0.0400	0.0000	0.0000	0.0000	31.5833
41.9200	2.1533	0.0000	0.0000	241.67	1.83	0.1400	0.0000	0.0000	0.0000	38.6667
46.4600	1.9529	0.0000	0.0000	146.67	1.11	0.0400	0.0000	0.0000	0.0000	2.9333
46.5800	1.9482	0.0000	0.0000	80.83	0.61	0.1200	0.0000	0.0000	0.0000	0.0000
48.4000	1.8791	0.0000	0.0000	96.67	0.73	0.0000	0.0000	0.0000	0.0000	5.8000
49.7800	1.8302	0.0000	0.0000	114.17	0.86	0.1200	0.0000	0.0000	0.0000	18.2667
50.2000	1.8158	0.0000	0.0000	217.50	1.65	0.1000	0.0000	0.0000	0.0000	30.4500
