Position	Dspace	ESD(P)	Corr.Fact	Intensity	Rel.Int.	FWHM(L)	ESD(L)	Area
[deg]	[A]	[deg]	[deg]	[CPS]	[CPS]	[deg]	[deg]	[deg]
55.3600	1.6582	0.0000	0.0000	159.17	2.07	0.0200	0.0000	9.5500
55.8800	1.6440	0.0000	0.0000	53.33	0.69	0.1200	0.0000	4.2667
57.2400	1.6081	0.0000	0.0000	32.50	0.42	0.0600	0.0000	1.3000
57.7200	1.5959	0.0000	0.0000	34.17	0.44	0.0600	0.0000	3.4167
57.8600	1.5923	0.0000	0.0000	30.83	0.40	0.0600	0.0000	2.4667
58.7200	1.5711	0.0000	0.0000	42.50	0.55	0.1200	0.0000	5.1000
59.9800	1.5410	0.0000	0.0000	613.33	7.97	0.1000	0.0000	36.8000
60.1400	1.5373	0.0000	0.0000	290.83	3.78	0.0800	0.0000	34.9000
60.5600	1.5276	0.0000	0.0000	31.67	0.41	0.1000	0.0000	3.8000
60.7400	1.5236	0.0000	0.0000	31.67	0.41	0.0400	0.0000	0.0000
61.5200	1.5061	0.0000	0.0000	39.17	0.51	0.1600	0.0000	6.2667
61.6400	1.5034	0.0000	0.0000	45.00	0.59	0.1600	0.0000	7.2000
63.7400	1.4589	0.0000	0.0000	40.83	0.53	0.1600	0.0000	4.9000
64.0600	1.4524	0.0000	0.0000	107.50	1.40	0.0800	0.0000	8.6000
64.2200	1.4491	0.0000	0.0000	57.50	0.75	0.1000	0.0000	6.9000
