,,,,,,,,,
Filename:,,,,,,,,,
,C:\Program,Files\Thermo,Electron\WinXRD\Datafiles\HERMAN\GEO\GS_08_RT.pk,,,,,,
,6.9600,12.6899,0.0000,0.0000,35.00,0.66,0.1200,0.0000,0.0000
,7.3000,12.0996,0.0000,0.0000,35.00,0.66,0.0800,0.0000,2.8000
,7.3400,12.0338,0.0000,0.0000,34.17,0.65,0.0600,0.0000,0.0000
,7.5000,11.7774,0.0000,0.0000,34.17,0.65,0.0800,0.0000,0.0000
,8.4400,10.4677,0.0000,0.0000,30.00,0.57,0.1000,0.0000,2.4000
,8.8800,9.9500,0.0000,0.0000,298.33,5.65,0.0000,0.0000,41.7667
,9.2000,9.6046,0.0000,0.0000,44.17,0.84,0.1600,0.0000,2.6500
,9.8000,9.0179,0.0000,0.0000,36.67,0.69,0.0400,0.0000,2.9333
,10.0000,8.8380,0.0000,0.0000,34.17,0.65,0.0800,0.0000,0.0000
,10.3400,8.5481,0.0000,0.0000,30.83,0.58,0.0800,0.0000,0.6167
,10.5400,8.3864,0.0000,0.0000,187.50,3.55,0.1200,0.0000,11.2500
,11.7000,7.5574,0.0000,0.0000,36.67,0.69,0.0600,0.0000,3.6667
,12.2200,7.2369,0.0000,0.0000,4345.00,82.24,0.0600,0.0000,260.7000
,13.0000,6.8044,0.0000,0.0000,30.83,0.58,0.1000,0.0000,1.2333
,13.2200,6.6917,0.0000,0.0000,43.33,0.82,0.0000,0.0000,0.0000
,13.4200,6.5924,0.0000,0.0000,54.17,1.03,0.1000,0.0000,8.6667
,13.5400,6.5342,0.0000,0.0000,57.50,1.09,0.1200,0.0000,9.2000
,13.6400,6.4865,0.0000,0.0000,60.00,1.14,0.1600,0.0000,7.2000
,13.8600,6.3841,0.0000,0.0000,76.67,1.45,0.0800,0.0000,9.2000
,14.8400,5.9646,0.0000,0.0000,32.50,0.62,0.0600,0.0000,0.6500
,15.0000,5.9014,0.0000,0.0000,30.83,0.58,0.1200,0.0000,2.4667
,15.9000,5.5693,0.0000,0.0000,30.83,0.58,0.0800,0.0000,1.2333
,17.3400,5.1099,0.0000,0.0000,93.33,1.77,0.0200,0.0000,7.4667
,17.8400,4.9678,0.0000,0.0000,113.33,2.15,0.0400,0.0000,6.8000
,18.5600,4.7767,0.0000,0.0000,214.17,4.05,0.0800,0.0000,17.1333
,18.8400,4.7063,0.0000,0.0000,49.17,0.93,0.1600,0.0000,5.9000
,19.1200,4.6380,0.0000,0.0000,30.83,0.58,0.1000,0.0000,0.0000
,19.2600,4.6046,0.0000,0.0000,45.83,0.87,0.0400,0.0000,6.4167
,19.7200,4.4982,0.0000,0.0000,43.33,0.82,0.0200,0.0000,0.0000
,19.9000,4.4579,0.0000,0.0000,40.83,0.77,0.0200,0.0000,0.8167
,20.8800,4.2509,0.0000,0.0000,646.67,12.24,0.1000,0.0000,51.7333
,21.1400,4.1992,0.0000,0.0000,110.83,2.10,0.0000,0.0000,8.8667
,22.0600,4.0261,0.0000,0.0000,129.17,2.44,0.0000,0.0000,12.9167
,22.5400,3.9414,0.0000,0.0000,40.00,0.76,0.0200,0.0000,0.8000
,22.8800,3.8836,0.0000,0.0000,236.67,4.48,0.0200,0.0000,9.4667
,23.5600,3.7730,0.0000,0.0000,134.17,2.54,0.0600,0.0000,13.4167
,24.3200,3.6568,0.0000,0.0000,126.67,2.40,0.0200,0.0000,17.7333
,24.6400,3.6100,0.0000,0.0000,2066.67,39.12,0.1200,0.0000,289.3333
,25.1600,3.5366,0.0000,0.0000,190.83,3.61,0.0600,0.0000,30.5333
,25.4000,3.5037,0.0000,0.0000,94.17,1.78,0.1200,0.0000,15.0667
,25.5800,3.4795,0.0000,0.0000,88.33,1.67,0.0800,0.0000,14.1333
,25.6400,3.4715,0.0000,0.0000,100.83,1.91,0.1200,0.0000,14.1167
,26.6600,3.3409,0.0000,0.0000,5283.33,100.00,0.0800,0.0000,528.3333
,27.5200,3.2384,0.0000,0.0000,421.67,7.98,0.0400,0.0000,59.0333
,27.9200,3.1929,0.0000,0.0000,628.33,11.89,0.1000,0.0000,75.4000
,28.6400,3.1143,0.0000,0.0000,61.67,1.17,0.1200,0.0000,9.8667
,28.7600,3.1016,0.0000,0.0000,151.67,2.87,0.0000,0.0000,6.0667
,29.5000,3.0254,0.0000,0.0000,39.17,0.74,0.0600,0.0000,3.9167
,29.8600,2.9898,0.0000,0.0000,102.50,1.94,0.1600,0.0000,12.3000
,30.2600,2.9512,0.0000,0.0000,153.33,2.90,0.0000,0.0000,21.4667
,30.5000,2.9285,0.0000,0.0000,61.67,1.17,0.1400,0.0000,6.1667
,30.8600,2.8951,0.0000,0.0000,91.67,1.74,0.0800,0.0000,9.1667
,31.2800,2.8572,0.0000,0.0000,70.00,1.32,0.1000,0.0000,8.4000
,31.6000,2.8290,0.0000,0.0000,40.00,0.76,0.0400,0.0000,0.0000
,31.9200,2.8014,0.0000,0.0000,132.50,2.51,0.0800,0.0000,5.3000
,32.3200,2.7676,0.0000,0.0000,90.00,1.70,0.0600,0.0000,9.0000
,33.0400,2.7089,0.0000,0.0000,101.67,1.92,0.1600,0.0000,4.0667
,33.5400,2.6697,0.0000,0.0000,150.83,2.85,0.0800,0.0000,3.0167
,34.7400,2.5802,0.0000,0.0000,44.17,0.84,0.1600,0.0000,5.3000
,35.1200,2.5531,0.0000,0.0000,62.50,1.18,0.1000,0.0000,10.0000
,35.5800,2.5211,0.0000,0.0000,533.33,10.09,0.0200,0.0000,85.3333
,36.5600,2.4558,0.0000,0.0000,364.17,6.89,0.1000,0.0000,50.9833
,37.1800,2.4162,0.0000,0.0000,116.67,2.21,0.1000,0.0000,16.3333
,37.6000,2.3902,0.0000,0.0000,79.17,1.50,0.1400,0.0000,12.6667
,38.5400,2.3340,0.0000,0.0000,52.50,0.99,0.1000,0.0000,2.1000
,38.6400,2.3282,0.0000,0.0000,54.17,1.03,0.1000,0.0000,2.1667
,38.8600,2.3156,0.0000,0.0000,53.33,1.01,0.0400,0.0000,2.1333
,39.4800,2.2806,0.0000,0.0000,234.17,4.43,0.0600,0.0000,9.3667
,40.3000,2.2361,0.0000,0.0000,146.67,2.78,0.1400,0.0000,8.8000
,41.7000,2.1642,0.0000,0.0000,154.17,2.92,0.0800,0.0000,24.6667
,42.0000,2.1494,0.0000,0.0000,115.83,2.19,0.0600,0.0000,18.5333
,42.4600,2.1272,0.0000,0.0000,179.17,3.39,0.1000,0.0000,17.9167
,42.8200,2.1101,0.0000,0.0000,48.33,0.91,0.1400,0.0000,0.9667
,42.9800,2.1026,0.0000,0.0000,31.67,0.60,0.1000,0.0000,0.0000
,44.9400,2.0154,0.0000,0.0000,30.83,0.58,0.1600,0.0000,1.8500
,45.2400,2.0027,0.0000,0.0000,70.00,1.32,0.0400,0.0000,4.2000
,45.5800,1.9886,0.0000,0.0000,78.33,1.48,0.0200,0.0000,12.5333
,45.8000,1.9795,0.0000,0.0000,155.83,2.95,0.0000,0.0000,12.4667
,46.1000,1.9673,0.0000,0.0000,31.67,0.60,0.1000,0.0000,0.6333
,46.2000,1.9633,0.0000,0.0000,43.33,0.82,0.1000,0.0000,0.8667
,47.1800,1.9248,0.0000,0.0000,35.00,0.66,0.0200,0.0000,5.6000
,48.0200,1.8931,0.0000,0.0000,72.50,1.37,0.1000,0.0000,2.9000
,48.1600,1.8879,0.0000,0.0000,50.00,0.95,0.1600,0.0000,2.0000
,48.4400,1.8776,0.0000,0.0000,31.67,0.60,0.1200,0.0000,0.6333
,49.2400,1.8490,0.0000,0.0000,30.00,0.57,0.0400,0.0000,1.8000
,49.8200,1.8288,0.0000,0.0000,48.33,0.91,0.1400,0.0000,7.7333
,49.9800,1.8233,0.0000,0.0000,64.17,1.21,0.1600,0.0000,10.2667
,50.1600,1.8172,0.0000,0.0000,536.67,10.16,0.0800,0.0000,32.2000
,50.6000,1.8024,0.0000,0.0000,70.00,1.32,0.0200,0.0000,2.8000
,50.7600,1.7971,0.0000,0.0000,63.33,1.20,0.1400,0.0000,6.3333
,50.9400,1.7912,0.0000,0.0000,35.00,0.66,0.1600,0.0000,0.0000
,51.2600,1.7808,0.0000,0.0000,78.33,1.48,0.0000,0.0000,12.5333
,52.2600,1.7490,0.0000,0.0000,54.17,1.03,0.1400,0.0000,1.0833
,52.5000,1.7416,0.0000,0.0000,90.83,1.72,0.0400,0.0000,7.2667
,52.6200,1.7379,0.0000,0.0000,80.00,1.51,0.0000,0.0000,9.6000
,54.9000,1.6710,0.0000,0.0000,223.33,4.23,0.1000,0.0000,13.4000
,55.3400,1.6587,0.0000,0.0000,57.50,1.09,0.1000,0.0000,4.6000
,55.8000,1.6461,0.0000,0.0000,35.83,0.68,0.1000,0.0000,2.8667
,56.0800,1.6386,0.0000,0.0000,35.00,0.66,0.0000,0.0000,2.1000
,56.7600,1.6206,0.0000,0.0000,47.50,0.90,0.1600,0.0000,0.9500
,57.0200,1.6138,0.0000,0.0000,34.17,0.65,0.0600,0.0000,2.7333
,58.6600,1.5725,0.0000,0.0000,33.33,0.63,0.0200,0.0000,0.6667
,59.1800,1.5599,0.0000,0.0000,90.00,1.70,0.0800,0.0000,9.0000
,59.9600,1.5415,0.0000,0.0000,372.50,7.05,0.1200,0.0000,22.3500
,60.1200,1.5378,0.0000,0.0000,201.67,3.82,0.1200,0.0000,24.2000
,60.5200,1.5286,0.0000,0.0000,42.50,0.80,0.0600,0.0000,4.2500
,60.8800,1.5204,0.0000,0.0000,53.33,1.01,0.0000,0.0000,5.3333
,61.4800,1.5070,0.0000,0.0000,33.33,0.63,0.0800,0.0000,5.3333
,61.6600,1.5030,0.0000,0.0000,36.67,0.69,0.1600,0.0000,3.6667
,61.8600,1.4986,0.0000,0.0000,32.50,0.62,0.1000,0.0000,2.6000
,62.0000,1.4956,0.0000,0.0000,51.67,0.98,0.0400,0.0000,6.2000
,62.1200,1.4930,0.0000,0.0000,33.33,0.63,0.0200,0.0000,3.3333
,62.6800,1.4810,0.0000,0.0000,45.83,0.87,0.0400,0.0000,3.6667
,64.0400,1.4528,0.0000,0.0000,57.50,1.09,0.0400,0.0000,2.3000
,64.2200,1.4491,0.0000,0.0000,50.83,0.96,0.1200,0.0000,5.0833
