,,,,,,,,,
Filename:,,,,,,,,,
,C:\Program,Files\Thermo,Electron\WinXRD\Datafiles\HERMAN\GEO\GS_01_RT.pk,,,,,,
,,,,,,,,,
File,Created:,,,,,,,,
,July,13,2018,-,12:38,PM,,,
,,,,,,,,,
Specimen,Id:,,,,,,,,
,GS-01,RT,,,,,,,
,,,,,,,,,
Specimen,Name:,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Specimen,Description:,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Comment:,,,,,,,,,
Scan,Type:,2Theta,Scan,,,,,,
Start,Angle:,1,deg.,,,,,,
Stop,Angle:,65,deg.,,,,,,
Num,Points:,3201,,,,,,,
Step,Size:,0.02,deg.,,,,,,
Scan,Rate:,1.000000,,,,,,,
Scan,Mode:,Continuous,,,,,,,
Wavelength:,1.540562,,,,,,,,
\Kalpha1:,1.540562,\Kalpha2:,1.544390,\Kbeta:,1.392218,,,,
,,,,,,,,,
Optics:,,,,,,,,,
,22.5600,3.9380,0.0000,0.0000,30.83,0.38,0.0000,0.0000,2.4667
,22.9800,3.8669,0.0000,0.0000,77.50,0.96,0.1000,0.0000,12.4000
,23.5400,3.7762,0.0000,0.0000,350.83,4.32,0.1600,0.0000,42.1000
,24.0000,3.7048,0.0000,0.0000,63.33,0.78,0.0600,0.0000,3.8000
,24.2600,3.6657,0.0000,0.0000,185.00,2.28,0.1400,0.0000,25.9000
,24.5800,3.6187,0.0000,0.0000,103.33,1.27,0.1200,0.0000,14.4667
,25.1400,3.5394,0.0000,0.0000,73.33,0.90,0.0400,0.0000,7.3333
,25.5800,3.4795,0.0000,0.0000,174.17,2.15,0.1400,0.0000,24.3833
,25.8200,3.4477,0.0000,0.0000,34.17,0.42,0.1200,0.0000,1.3667
,26.6000,3.3483,0.0000,0.0000,8115.00,100.00,0.0600,0.0000,649.2000
,27.4800,3.2431,0.0000,0.0000,625.83,7.71,0.1000,0.0000,62.5833
,27.9400,3.1907,0.0000,0.0000,2760.83,34.02,0.1200,0.0000,276.0833
,28.5200,3.1271,0.0000,0.0000,116.67,1.44,0.0600,0.0000,18.6667
,28.7000,3.1079,0.0000,0.0000,118.33,1.46,0.1000,0.0000,9.4667
,29.8800,2.9878,0.0000,0.0000,75.00,0.92,0.1000,0.0000,10.5000
,30.0400,2.9723,0.0000,0.0000,80.83,1.00,0.0600,0.0000,11.3167
,30.4400,2.9341,0.0000,0.0000,190.00,2.34,0.0200,0.0000,19.0000
,30.8400,2.8970,0.0000,0.0000,136.67,1.68,0.0200,0.0000,16.4000
,31.1400,2.8697,0.0000,0.0000,199.17,2.45,0.0800,0.0000,7.9667
,31.5400,2.8342,0.0000,0.0000,35.83,0.44,0.0200,0.0000,2.8667
,31.9000,2.8031,0.0000,0.0000,124.17,1.53,0.0000,0.0000,12.4167
,32.2400,2.7743,0.0000,0.0000,30.83,0.38,0.0800,0.0000,2.4667
