,2018-07-24 19:00:00,2018-07-25 19:00:00,2018-07-25 19:00:00,2018-07-25 19:00:00,2018-07-25 19:00:00,2018-07-27 19:00:00,2018-07-28 19:00:00,2018-07-30 19:00:00,2018-08-01 19:00:00,2018-08-01 19:00:00,2018-08-01 19:00:00,2018-08-01 19:00:00,2018-08-02 19:00:00,2018-08-02 19:00:00,2018-08-02 19:00:00,2018-08-02 19:00:00,2018-08-03 19:00:00,2018-08-04 19:00:00,2018-08-04 19:00:00,2018-08-04 19:00:00,2018-08-04 19:00:00,2018-08-05 19:00:00,2018-08-06 19:00:00,2018-08-07 19:00:00,2018-08-10 19:00:00,2018-08-11 19:00:00,2018-08-13 19:00:00,2018-08-13 19:00:00,2018-08-13 19:00:00,2018-08-13 19:00:00,2018-08-14 19:00:00,2018-08-15 19:00:00,2018-08-27 11:26:00,2018-08-27 11:26:00,2018-08-27 11:26:00,2018-08-27 11:26:00,2018-08-27 11:26:00,2018-08-27 11:26:00,2018-08-27 11:26:00,2018-08-27 11:26:00,2018-08-27 11:26:00,2018-08-27 12:08:00,2018-08-27 14:24:00,2018-08-27 14:24:00,2018-08-27 14:24:00,2018-08-27 14:24:00,2018-08-27 14:55:00,2018-08-27 19:00:00,2018-08-27 19:00:00,2018-08-27 19:00:00,2018-08-27 19:00:00,2018-08-27 19:00:00,2018-08-27 19:00:00,2018-08-27 19:00:00,2018-08-27 19:00:00,2018-08-27 19:00:00,2018-08-28 19:00:00,2018-08-29 19:00:00,2018-09-05 19:00:00,2018-09-07 19:00:00,2018-09-10 19:00:00,2018-09-11 19:00:00,2018-09-12 19:00:00,2018-09-13 19:00:00,2018-09-17 19:00:00,2018-09-25 09:55:00,2018-09-25 09:55:00,2018-09-25 09:55:00,2018-09-25 09:55:00,2018-09-25 11:30:00,2018-09-25 11:30:00,2018-09-25 11:30:00,2018-09-25 11:30:00,2018-09-25 14:20:00,2019-06-05 19:00:00,2019-06-06 19:00:00,2019-06-07 19:00:00,2019-06-08 19:00:00,2019-06-08 19:00:00,2019-06-08 19:00:00,2019-06-08 19:00:00,2019-06-09 19:00:00,2019-06-10 19:00:00,2019-06-13 19:00:00,2019-06-17 19:00:00,2019-06-18 19:00:00,2019-06-21 19:00:00,2019-06-22 19:00:00,2019-06-24 19:00:00,2019-06-24 19:00:00,2019-06-24 19:00:00,2019-06-24 19:00:00,2019-06-25 19:00:00,2019-06-26 19:00:00,2019-06-27 14:30:00,2019-06-27 14:40:00,2019-06-27 19:00:00,2019-06-28 13:30:00,2019-06-28 13:30:00,2019-06-28 13:30:00,2019-06-28 13:30:00,2019-06-28 19:00:00,2019-06-30 19:00:00,2019-07-02 19:00:00,2019-07-06 19:00:00,2019-07-07 19:00:00,2019-07-10 19:00:00,2019-07-15 19:00:00,2019-07-16 19:00:00,2019-07-18 19:00:00,2019-07-20 19:00:00,2019-07-22 19:00:00,2019-07-23 12:00:00,2019-07-23 12:00:00,2019-07-23 12:00:00,2019-07-23 12:00:00,2019-07-23 13:00:00,2019-07-23 14:00:00,2019-07-23 19:00:00,2019-07-29 19:00:00,2019-07-31 19:00:00,2019-08-01 19:00:00,2019-08-03 19:00:00,2019-08-04 19:00:00,2019-08-05 19:00:00,2019-08-06 19:00:00,2019-08-08 19:00:00,2019-08-10 19:00:00,2019-08-11 19:00:00,2019-08-12 19:00:00,2019-08-15 19:00:00,2019-08-16 19:00:00,2019-08-18 19:00:00,2019-08-19 19:00:00,2019-08-20 19:00:00,2019-08-21 19:00:00,2019-08-22 19:00:00,2019-08-26 19:00:00,2019-08-27 19:00:00,2019-08-28 19:00:00,2019-08-29 19:00:00,2019-09-05 19:00:00,2020-06-12 13:55:00,2020-06-12 15:10:00,2020-06-18 14:10:00,2020-07-08 11:50:00,2020-07-08 14:30:00,2020-07-13 14:00:00,2020-08-14 11:20:00,2020-08-14 11:20:00,2020-08-14 11:20:00,2020-08-14 11:20:00,2020-08-14 11:20:00,2020-08-14 11:20:00,2020-08-14 11:20:00,2020-08-14 11:20:00,2020-08-14 11:20:00,2020-08-27 09:00:00,2020-08-27 12:00:00,2020-08-27 14:16:00,2020-08-27 15:30:00,2020-09-14 11:40:00,2020-09-14 13:00:00,2020-09-14 14:00:00,2020-09-14 15:00:00,2020-09-14 16:10:00,2020-09-14 19:00:00,2020-09-14 19:00:00,2020-09-14 19:00:00,2020-09-14 19:00:00,2020-09-14 19:00:00,2020-09-14 19:00:00,2020-09-14 19:00:00,2020-09-14 19:00:00,2020-09-14 19:00:00,2020-09-14 19:00:00,2020-09-14 19:00:00,2020-09-14 19:00:00,2020-09-14 19:00:00,2020-09-14 19:00:00,2020-09-14 19:00:00,2020-09-14 19:00:00,2020-09-14 19:00:00,2020-09-14 19:00:00,2020-09-14 19:00:00,2020-09-14 19:00:00,2020-09-14 19:00:00,2020-09-14 19:00:00,2020-09-14 19:00:00,2020-09-14 19:00:00,2020-09-14 19:00:00,2020-09-14 19:00:00,2020-09-14 19:00:00,2020-09-14 19:00:00,2020-09-14 19:00:00,2020-09-14 19:00:00,2020-09-14 19:00:00,2020-09-14 19:00:00,2020-09-14 19:00:00,2020-09-14 19:00:00,2020-09-14 19:00:00,2020-09-14 19:00:00
Glaucophane,8.025,0.7833,2.9833499999999997,0.7833,2.9833499999999997,0.0,7.7167,0.0,8.8,0.0,8.8,0.0,4.5,8.85,4.5,8.85,2.9,5.5833,2.3944333333333336,5.5833,2.3944333333333336,8.561100000000001,5.51665,2.2667,10.9333,5.6,2.1083499999999997,3.9167,2.1083499999999997,3.9167,0.0,2.45,7.6,4.06665,8.0,7.6,4.06665,8.0,7.6,4.06665,8.0,3.4,12.966650000000001,5.6667,12.966650000000001,5.6667,4.6667,0.0,10.8333,8.8,0.0,10.8333,8.8,0.0,10.8333,8.8,2.85,0.0,17.3333,6.725,5.125,0.0,6.11665,5.0,5.125,3.4,6.6,3.4,6.6,9.2667,0.0,9.2667,0.0,0.0,7.2,0.9167,1.1,3.425,8.9,3.425,8.9,4.1,1.4333,0.0,0.0,1.0,7.261133333333333,3.1666499999999997,3.03335,5.144433333333333,3.03335,5.144433333333333,1.3666500000000001,13.4,2.6667,2.15,1.1055666666666666,7.175,11.56665,7.175,11.56665,2.6,2.625,5.4,6.6,3.21665,5.0,2.1,6.01665,1.2667,0.0,1.1,11.799999999999999,4.291650000000001,11.799999999999999,4.291650000000001,3.8,3.25,1.6333,2.3110999999999997,1.7166666666666668,2.033333333333333,1.5,0.0,0.0,2.85,2.3333500000000003,1.63335,2.5333,0.6667,2.20835,0.7667,1.00835,6.199999999999999,8.16665,0.0,1.4833500000000002,1.75,1.4417,1.4389,2.3722333333333334,1.325,7.36665,7.80835,4.8,10.8,4.45,4.005566666666667,11.88335,19.033350000000002,5.955533333333334,11.88335,19.033350000000002,5.955533333333334,11.88335,19.033350000000002,5.955533333333334,3.477766666666667,8.441650000000001,6.33335,7.53335,8.175,5.68335,3.65,8.03335,6.7333,7.33335,8.15835,9.36665,8.23335,10.99165,8.799999999999999,7.33335,8.15835,9.36665,8.23335,10.99165,8.799999999999999,7.33335,8.15835,9.36665,8.23335,10.99165,8.799999999999999,7.33335,8.15835,9.36665,8.23335,10.99165,8.799999999999999,7.33335,8.15835,9.36665,8.23335,10.99165,8.799999999999999,7.33335,8.15835,9.36665,8.23335,10.99165,8.799999999999999
Fayalite,17.099966666666663,14.77085,20.820825,14.77085,20.820825,5.433325,17.61665,27.63335,58.61665,29.555566666666664,58.61665,29.555566666666664,22.9625,21.34585,22.9625,21.34585,13.654174999999999,9.404175,9.34585,9.404175,9.34585,15.125,11.55835,8.783333333333333,7.733333333333333,15.900000000000002,15.108324999999999,15.0667,15.108324999999999,15.0667,13.758325,10.975,17.4222,20.108324999999997,35.508325,17.4222,20.108324999999997,35.508325,17.4222,20.108324999999997,35.508325,10.3,16.1875,22.6889,16.1875,22.6889,12.874999999999998,11.716674999999999,22.205533333333335,10.455533333333333,11.716674999999999,22.205533333333335,10.455533333333333,11.716674999999999,22.205533333333335,10.455533333333333,11.658349999999999,8.066666666666668,27.6,21.945825,18.22085,10.50415,22.083325,17.316675,17.14585,9.04165,12.466675,9.04165,12.466675,26.170849999999998,14.311100000000001,26.170849999999998,14.311100000000001,10.933333333333332,15.108325,19.42085,8.883325,19.291649999999997,38.59165000000001,19.291649999999997,38.59165000000001,17.345824999999998,32.833333333333336,16.091675000000002,15.558325,21.374999999999996,35.699999999999996,16.67085,11.049975,10.866674999999999,11.049975,10.866674999999999,16.487499999999997,40.504175000000004,5.05,8.2125,12.108325,13.704149999999998,50.8625,13.704149999999998,50.8625,10.641675,10.866675,24.54585,14.82085,8.083325,12.916675000000001,7.700033333333333,24.958325000000002,11.824975,13.516675,20.783325,33.23886666666667,12.93335,33.23886666666667,12.93335,14.095825000000001,16.81665,17.725,12.920825,17.09585,18.029175000000002,10.104175,11.516666666666666,16.733325,16.858325,11.041675,13.37085,15.91665,26.85,10.89165,16.166675,11.141675,14.204175,39.425025,15.004175,6.775,10.145824999999999,5.525,8.833325,13.004175,6.612500000000001,20.174999999999997,22.079175000000003,17.737499999999997,9.229175000000001,23.629175000000004,10.275,21.495825,49.095825000000005,30.075,21.495825,49.095825000000005,30.075,21.495825,49.095825000000005,30.075,13.03335,18.51665,18.1625,19.033350000000002,14.5,17.433333333333334,11.466666666666667,12.4,8.02085,37.9778,28.16665,20.316675,29.791674999999998,37.679175,39.64443333333333,37.9778,28.16665,20.316675,29.791674999999998,37.679175,39.64443333333333,37.9778,28.16665,20.316675,29.791674999999998,37.679175,39.64443333333333,37.9778,28.16665,20.316675,29.791674999999998,37.679175,39.64443333333333,37.9778,28.16665,20.316675,29.791674999999998,37.679175,39.64443333333333,37.9778,28.16665,20.316675,29.791674999999998,37.679175,39.64443333333333
Dolomite,4.7833,10.25,1.6667,10.25,1.6667,0.0,11.4667,6.1667,16.6667,20.1667,16.6667,20.1667,5.0,7.2333,5.0,7.2333,13.6,0.95,18.0833,0.95,18.0833,8.9,5.9,0.0,8.8667,4.0667,0.0,0.0,0.0,0.0,7.7,10.2667,0.0,6.9,2.2333,0.0,6.9,2.2333,0.0,6.9,2.2333,0.0,3.05,2.9167,3.05,2.9167,0.0,0.0,0.0,10.3833,0.0,0.0,10.3833,0.0,0.0,10.3833,4.0667,7.4667,8.5333,11.3,6.4167,2.9333,3.2,13.5,6.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,1.8,12.0,10.5,14.1333,7.4667,14.1333,7.4667,14.5333,14.1667,9.2,20.25,10.1667,22.8,7.6,5.2333,4.2,5.2333,4.2,13.0667,18.1,12.7,21.8,13.3,19.6667,20.5,19.6667,20.5,13.1,7.6,8.4167,7.7,8.0,12.25,5.0667,10.0,12.5333,16.0833,8.1,73.5833,8.4,73.5833,8.4,7.7,18.6667,9.8,13.1833,15.1667,12.6,3.2667,11.9,6.0833,9.4,6.2,18.9333,11.7,13.4167,10.2667,9.9,8.8,9.9167,17.4667,10.2667,6.6,10.1,4.3,4.9,12.25,8.05,3.3333,0.0,4.3333,6.2667,1.6,12.5333,5.1,5.0167,2.3333,5.1,5.0167,2.3333,5.1,5.0167,2.3333,5.2,7.2,3.3333,2.1667,11.2,11.4333,19.4667,31.7,4.65,4.2,7.3333,6.0667,7.4,5.95,3.7,4.2,7.3333,6.0667,7.4,5.95,3.7,4.2,7.3333,6.0667,7.4,5.95,3.7,4.2,7.3333,6.0667,7.4,5.95,3.7,4.2,7.3333,6.0667,7.4,5.95,3.7,4.2,7.3333,6.0667,7.4,5.95,3.7
Diopside,11.516666666666666,4.81665,157.21666666666667,4.81665,157.21666666666667,7.9833,15.4833,19.95,34.22776666666667,41.57776666666666,34.22776666666667,41.57776666666666,23.966666666666665,14.222233333333335,23.966666666666665,14.222233333333335,14.327766666666667,3.116666666666666,20.238899999999997,3.116666666666666,20.238899999999997,20.599999999999998,26.494433333333333,14.950000000000001,22.1333,13.122233333333334,13.477766666666668,0.0,13.477766666666668,0.0,29.13335,7.86665,2.71665,11.894466666666666,14.194433333333334,2.71665,11.894466666666666,14.194433333333334,2.71665,11.894466666666666,14.194433333333334,22.816666666666666,8.9889,10.81665,8.9889,10.81665,13.244466666666666,5.894433333333333,12.5889,12.7,5.894433333333333,12.5889,12.7,5.894433333333333,12.5889,12.7,15.955566666666664,9.772233333333332,10.144433333333332,14.477766666666668,24.4722,13.477766666666666,16.477766666666668,15.005566666666668,22.961100000000002,8.2917,7.611133333333334,8.2917,7.611133333333334,24.877799999999997,15.333333333333334,24.877799999999997,15.333333333333334,10.36665,16.472233333333335,18.72223333333333,17.716666666666665,15.55,22.133333333333336,15.55,22.133333333333336,8.0778,13.422233333333333,12.45835,28.505566666666663,57.33335,36.2889,18.966666666666665,11.511133333333333,24.88333333333333,11.511133333333333,24.88333333333333,13.658349999999999,51.10556666666667,13.0889,10.5889,12.105566666666668,58.694433333333336,28.0,58.694433333333336,28.0,7.955566666666667,34.95553333333333,21.1667,19.316666666666666,9.866666666666667,28.722233333333335,19.1,13.54443333333333,10.733333333333333,22.544433333333334,19.7167,86.7333,9.225,86.7333,9.225,11.777766666666666,10.450000000000001,18.55,19.133333333333336,21.68886666666667,18.8889,16.05,10.516666666666666,15.208350000000001,43.699999999999996,15.433333333333332,45.166666666666664,13.783333333333333,38.972233333333335,35.49999999999999,18.705566666666666,29.23333333333333,16.72223333333333,21.64446666666667,11.7111,14.983333333333334,8.433333333333335,7.3,10.875,18.8083,11.95,20.6889,12.272233333333332,13.344433333333335,46.23335,19.433333333333334,13.6,13.533333333333333,42.8611,3.0777666666666668,13.533333333333333,42.8611,3.0777666666666668,13.533333333333333,42.8611,3.0777666666666668,12.022233333333334,17.166666666666668,16.3389,18.455566666666666,14.394466666666666,16.55,9.125,0.0,10.666666666666666,17.583333333333332,23.255533333333332,22.4889,19.22223333333333,17.483333333333334,22.9333,17.583333333333332,23.255533333333332,22.4889,19.22223333333333,17.483333333333334,22.9333,17.583333333333332,23.255533333333332,22.4889,19.22223333333333,17.483333333333334,22.9333,17.583333333333332,23.255533333333332,22.4889,19.22223333333333,17.483333333333334,22.9333,17.583333333333332,23.255533333333332,22.4889,19.22223333333333,17.483333333333334,22.9333,17.583333333333332,23.255533333333332,22.4889,19.22223333333333,17.483333333333334,22.9333
Chrysotile,21.6,37.2,49.2,37.2,49.2,6.9167,46.9,33.6,119.6,55.2,119.6,55.2,71.9167,30.6,71.9167,30.6,20.85,71.8333,20.75,71.8333,20.75,29.6667,39.1333,11.6,0.0,41.0667,23.9,62.0667,23.9,62.0667,17.4667,16.2,83.3333,55.3333,107.7333,83.3333,55.3333,107.7333,83.3333,55.3333,107.7333,18.2,37.0,44.0,37.0,44.0,17.3333,73.8667,92.2667,0.0,73.8667,92.2667,0.0,73.8667,92.2667,0.0,26.1333,14.5333,63.6,71.5,31.25,21.8167,54.9167,26.9,37.6833,5.8,55.8333,5.8,55.8333,165.4333,21.4667,165.4333,21.4667,21.2,48.4,42.4667,36.5,38.9,146.3,38.9,146.3,25.0667,220.55,30.9333,33.4,89.4167,105.4667,43.95,28.7333,23.5,28.7333,23.5,29.6667,77.7,36.6667,25.6667,25.9,19.4167,130.1,19.4167,130.1,23.8333,24.5,52.2,18.6,17.2,38.3333,9.9333,26.2,23.9167,25.25,28.0,20.8,28.7,20.8,28.7,20.0,24.7333,61.2,33.8333,30.5,21.4,21.1,22.5833,25.0,39.9,31.6,40.6,26.7,86.3333,33.5833,26.25,29.0,45.0,94.7333,27.35,13.1667,14.6,9.3333,20.55,27.4,10.95,48.5833,95.4667,29.1667,0.0,53.6,0.0,50.4,270.2,232.1,50.4,270.2,232.1,50.4,270.2,232.1,33.4667,26.6,38.0,25.2,21.4667,15.5833,0.0,0.0,8.9333,75.3333,62.1667,43.9,65.1333,97.5,82.6667,75.3333,62.1667,43.9,65.1333,97.5,82.6667,75.3333,62.1667,43.9,65.1333,97.5,82.6667,75.3333,62.1667,43.9,65.1333,97.5,82.6667,75.3333,62.1667,43.9,65.1333,97.5,82.6667,75.3333,62.1667,43.9,65.1333,97.5,82.6667
Calcite,4.5,0.0,0.0,0.0,0.0,0.0,3.6,0.0,0.0,6.9333,0.0,6.9333,5.86665,0.0,5.86665,0.0,0.0,0.6499999999999999,3.0333,0.6499999999999999,3.0333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,1.7333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.3,14.675,0.0,0.0,0.0,3.75,0.0,3.75,0.0,24.5,0.0,0.0,0.0,11.39165,3.3333,0.0,5.3500000000000005,0.0,5.3500000000000005,5.8667,24.2667,0.0,2.25,13.3,0.0,1.3667,0.0,1.3667,0.0,10.2667,0.0,2.9167,0.0,2.63335,0.0,0.0,0.0,0.0,0.0,0.0,10.9167,0.0,10.9167,0.0,0.0,0.0,0.0,0.0,0.0,8.9833,0.0,0.0,14.2,0.0,14.7,2.5333,14.1167,6.4667,0.0,9.48335,10.2,0.5833,0.0,8.1333,0.0,3.35,0.65,0.0,0.0,0.0,3.2,4.2,0.0,0.0,0.0,4.1333,1.8667,0.78335,4.1333,1.8667,0.78335,4.1333,1.8667,0.78335,0.0,2.15,1.1667,0.0,0.0,2.3,3.5,2.10835,0.0,1.2,3.25,6.6,0.0,1.8,2.275,1.2,3.25,6.6,0.0,1.8,2.275,1.2,3.25,6.6,0.0,1.8,2.275,1.2,3.25,6.6,0.0,1.8,2.275,1.2,3.25,6.6,0.0,1.8,2.275,1.2,3.25,6.6,0.0,1.8,2.275
Brucite,6.65,10.958300000000001,90.52499999999999,10.958300000000001,90.52499999999999,2.1,14.75,68.31665,44.1333,40.3667,44.1333,40.3667,15.8,10.1,15.8,10.1,11.8333,346.85,13.5,346.85,13.5,8.5833,9.774999999999999,53.15,8.0,10.91665,11.891649999999998,338.70835,11.891649999999998,338.70835,0.0,6.15,276.8,11.43335,97.36665,276.8,11.43335,97.36665,276.8,11.43335,97.36665,9.875,76.66665,118.50835,76.66665,118.50835,11.03335,187.4,41.175,10.6667,187.4,41.175,10.6667,187.4,41.175,10.6667,11.13335,0.0,13.808349999999999,14.30835,13.425,11.88335,12.875,37.23335,9.2,50.2,196.81665,50.2,196.81665,168.4083,66.85,168.4083,66.85,22.38335,11.799999999999999,10.375,6.85,11.6667,25.35,11.6667,25.35,6.10835,33.0,12.25,12.7,30.0833,5.46665,13.8333,8.4417,27.775000000000002,8.4417,27.775000000000002,9.0833,1.3166499999999999,14.75,8.7333,6.8667,122.85,19.299999999999997,122.85,19.299999999999997,14.0,4.1,11.3333,3.1,4.4167,6.70835,1.3333,6.2167,8.2667,11.25,5.6,13.2,11.575,13.2,11.575,2.8,10.7,11.75,10.0833,13.1667,2.85,2.2,8.4167,7.7,12.7,3.8,8.56665,3.675,27.3,2.9000000000000004,12.0833,1.61665,2.49165,29.8,5.5333,5.3,3.1333,2.25,4.5833,11.0667,5.95,17.08335,45.4667,16.875,14.5333,17.71665,6.6667,14.53335,248.38335,232.45000000000002,14.53335,248.38335,232.45000000000002,14.53335,248.38335,232.45000000000002,71.03335,12.975,17.8,27.95,11.2,8.2,11.0667,11.3333,41.1833,10.53335,17.00835,14.05,15.5,21.38335,20.11665,10.53335,17.00835,14.05,15.5,21.38335,20.11665,10.53335,17.00835,14.05,15.5,21.38335,20.11665,10.53335,17.00835,14.05,15.5,21.38335,20.11665,10.53335,17.00835,14.05,15.5,21.38335,20.11665,10.53335,17.00835,14.05,15.5,21.38335,20.11665
Antigorite,16.775,32.933350000000004,54.99165,32.933350000000004,54.99165,8.125,42.8,36.73335,136.26665,69.71665,136.26665,69.71665,66.75835000000001,31.28335,66.75835000000001,31.28335,21.025,52.316649999999996,16.45835,52.316649999999996,16.45835,28.08335,29.9,13.399999999999999,7.5,39.2,24.025,43.1667,24.025,43.1667,20.10835,15.6,65.5333,53.21665,111.20830000000001,65.5333,53.21665,111.20830000000001,65.5333,53.21665,111.20830000000001,18.7,42.066649999999996,49.708349999999996,42.066649999999996,49.708349999999996,11.29165,55.333349999999996,72.4,0.0,55.333349999999996,72.4,0.0,55.333349999999996,72.4,0.0,23.4,26.533299999999997,36.64165,63.9,33.558350000000004,20.475,53.65,31.25,37.625,7.1,45.475,7.1,45.475,126.25,23.799999999999997,126.25,23.799999999999997,17.83335,30.549999999999997,40.541700000000006,29.50835,32.05,82.15,32.05,82.15,21.03335,217.2,28.94165,28.35,68.975,114.50835000000001,42.275000000000006,26.4333,20.325,26.4333,20.325,22.00835,62.00835,19.025,13.35,21.1,21.50835,131.64999999999998,21.50835,131.64999999999998,26.125,22.8,58.550000000000004,22.65,12.5,29.55,9.516649999999998,38.76665,20.825,21.875,40.9,20.8,24.28335,20.8,24.28335,22.54165,26.8333,46.8,27.7833,26.33335,25.325,19.0,18.39165,30.03335,37.05,34.125,39.083349999999996,27.0,95.2333,26.49165,31.05835,16.1,69.76665,99.4,28.225,9.875,13.774999999999999,7.36665,16.875,24.03335,9.225,42.725,74.74170000000001,21.40835,10.0,33.21665,0.7,50.666650000000004,222.1,170.05,50.666650000000004,222.1,170.05,50.666650000000004,222.1,170.05,25.666700000000002,20.88335,31.65,19.36665,14.60835,14.5,7.5833,3.4167,10.3333,44.0,62.349999999999994,43.083349999999996,37.36665,99.28335,47.98335,44.0,62.349999999999994,43.083349999999996,37.36665,99.28335,47.98335,44.0,62.349999999999994,43.083349999999996,37.36665,99.28335,47.98335,44.0,62.349999999999994,43.083349999999996,37.36665,99.28335,47.98335,44.0,62.349999999999994,43.083349999999996,37.36665,99.28335,47.98335,44.0,62.349999999999994,43.083349999999996,37.36665,99.28335,47.98335
Anorthite,36.9333,40.2667,54.3,40.2667,54.3,33.95,51.1,59.4,57.8667,15.5,57.8667,15.5,124.3333,59.0333,124.3333,59.0333,102.5,13.0667,75.2,13.0667,75.2,80.9167,167.6667,82.6,23.4667,47.3667,55.1,6.6,55.1,6.6,33.6,101.2667,28.8,65.7333,70.9167,28.8,65.7333,70.9167,28.8,65.7333,70.9167,62.0667,100.2,36.4167,100.2,36.4167,41.0667,38.8,77.4667,11.2,38.8,77.4667,11.2,38.8,77.4667,11.2,63.3333,25.7333,280.0,63.2,98.9333,43.8667,72.6667,73.1,56.9333,43.1667,68.4,43.1667,68.4,53.25,68.1333,53.25,68.1333,746.0,73.15,68.0167,32.5333,71.0833,107.2,71.0833,107.2,61.8667,54.8,599.2667,65.5,110.6667,0.0,63.7,83.1,52.0,83.1,52.0,52.9667,28.25,74.6667,91.0,75.3,109.8,94.15,109.8,94.15,32.2,22.1,67.3,60.0833,36.1,138.0167,35.6,74.0833,42.1,91.7,81.8,66.0,44.4,66.0,44.4,59.2,45.0,114.4167,97.5,82.1333,48.5833,31.6,50.9833,64.7,47.3333,61.7333,0.0,104.6667,5.5833,10.15,56.8,24.0833,5.1667,80.1,53.9,25.6,60.4,22.4,56.4,44.2167,29.7333,88.2667,91.4667,73.85,14.4667,83.7333,11.3333,54.2667,61.2,27.0667,54.2667,61.2,27.0667,54.2667,61.2,27.0667,98.5833,74.9333,90.2667,128.6667,59.0333,64.1667,31.0333,11.6667,68.3333,80.9333,97.8667,84.4,87.6,61.3333,70.5833,80.9333,97.8667,84.4,87.6,61.3333,70.5833,80.9333,97.8667,84.4,87.6,61.3333,70.5833,80.9333,97.8667,84.4,87.6,61.3333,70.5833,80.9333,97.8667,84.4,87.6,61.3333,70.5833,80.9333,97.8667,84.4,87.6,61.3333,70.5833
Annite,23.1,119.31665000000001,156.58335,119.31665000000001,156.58335,136.55,117.58335,117.425,115.425,122.89165,115.425,122.89165,195.7,351.6,195.7,351.6,139.20835,50.35,167.43335,50.35,167.43335,191.33335000000002,211.8083,176.14999999999998,0.0,99.19999999999999,218.5833,60.0,218.5833,60.0,154.44165,92.225,103.8667,30.45,187.875,103.8667,30.45,187.875,103.8667,30.45,187.875,168.28334999999998,111.325,142.68335,111.325,142.68335,5.2,107.725,151.69165,0.0,107.725,151.69165,0.0,107.725,151.69165,0.0,45.2667,89.71664999999999,0.0,109.80834999999999,0.0,289.1667,53.8,133.4,158.01665,26.1,103.61664999999999,26.1,103.61664999999999,130.3,143.15,130.3,143.15,0.0,30.1,145.0,74.89165,106.73330000000001,13.7333,106.73330000000001,13.7333,115.46665,159.35,126.38335,194.25830000000002,341.2917,177.66665,155.48335,133.425,493.375,133.425,493.375,154.275,400.05,222.23335,154.63335,132.56665,297.6,118.44999999999999,297.6,118.44999999999999,101.19999999999999,172.29165,202.0667,150.25,132.45835,142.9083,73.63335000000001,105.75,164.63335,170.86665,184.85,5.25,116.29165,5.25,116.29165,143.23335,148.9,178.25,180.075,297.79165,117.125,63.46665,156.5833,79.39999999999999,149.825,137.8,273.2333,154.725,102.26665,171.33335,112.23335,190.94165,133.45,129.49165,126.525,55.566700000000004,130.875,42.05,86.46665,178.19165,84.25,154.48335,152.26670000000001,0.0,4.3,0.0,0.0,0.0,127.0,127.7,0.0,127.0,127.7,0.0,127.0,127.7,131.23335,43.1667,129.375,145.725,0.0,0.8167,4.2,0.0,252.4667,5.5833,145.2,61.3667,0.0,87.21665,0.0,5.5833,145.2,61.3667,0.0,87.21665,0.0,5.5833,145.2,61.3667,0.0,87.21665,0.0,5.5833,145.2,61.3667,0.0,87.21665,0.0,5.5833,145.2,61.3667,0.0,87.21665,0.0,5.5833,145.2,61.3667,0.0,87.21665,0.0
Ankerite,4.7833,0.0,6.8,0.0,6.8,0.0,11.4667,8.75,10.85,4.45,10.85,4.45,11.5,20.1,11.5,20.1,9.1333,0.0,18.0833,0.0,18.0833,8.9,9.7,3.8,8.8667,4.0667,13.1667,0.0,13.1667,0.0,18.75,0.0,0.0,11.2,6.0833,0.0,11.2,6.0833,0.0,11.2,6.0833,5.5333,3.8667,5.3,3.8667,5.3,6.9333,5.2,5.7333,10.3833,5.2,5.7333,10.3833,5.2,5.7333,10.3833,9.7333,0.0,0.85,11.3,8.75,8.4,5.15,13.5,10.2667,4.0833,0.0,4.0833,0.0,5.3333,5.8333,5.3333,5.8333,7.1333,6.1333,12.0,2.6,10.15,16.8,10.15,16.8,2.05,2.0333,5.1,20.25,7.8333,22.8,7.6,8.7667,9.6,8.7667,9.6,3.75,32.0,2.3667,6.1,13.3,19.6667,20.5,19.6667,20.5,0.7833,20.0,7.2,9.3,3.9333,12.25,5.4667,10.0,3.75,16.0833,16.7,18.9333,4.8,18.9333,4.8,7.1333,18.6667,9.4667,6.3333,6.2667,5.7,2.2667,5.6667,5.5,2.6667,5.0667,18.9333,11.7,13.4667,11.0833,9.9,8.8,9.9167,14.8,44.5,3.9167,8.8667,1.6,5.7167,5.2,7.4667,13.7667,11.6,12.2,6.2667,11.6,12.5333,15.8667,6.25,2.3333,15.8667,6.25,2.3333,15.8667,6.25,2.3333,5.2,8.0833,14.6,11.2,11.7333,10.1,19.4667,0.0,8.05,11.1,15.6,11.0,11.1,13.3333,12.2,11.1,15.6,11.0,11.1,13.3333,12.2,11.1,15.6,11.0,11.1,13.3333,12.2,11.1,15.6,11.0,11.1,13.3333,12.2,11.1,15.6,11.0,11.1,13.3333,12.2,11.1,15.6,11.0,11.1,13.3333,12.2
