Name,Load,Date ,Time,Date time,Full name
G89,553.2,27.06.2019,14:30,27.06.2019 14:30,G89_pf_RT.txt
G90,0.1,27.06.2019,14:40,27.06.2019 14:40,G90_pf_RT.txt
G30,499.8,27.06.2019,19:00,27.06.2019 19:00,G30_pf_RT.txt
4_22,448.2,28.06.2019,13:30,28.06.2019 13:30,4_22_pf_FT.txt
4A,448.2,28.06.2019,13:30,28.06.2019 13:30,4A_pf_FT.txt
G31,418.5,28.06.2019,19:00,28.06.2019 19:00,G31_pf_RT.txt
G32,445.4,30.06.2019,19:00,30.06.2019 19:00,G32_PF_RT.txt
G33,300,02.07.2019,19:00,02.07.2019 19:00,G33_pf_RT.txt
G36,196,06.07.2019,19:00,06.07.2019 19:00,G36_pf_RT.txt
G37,172.4,07.07.2019,19:00,07.07.2019 19:00,G37_pf_RT.txt
G38,530.9,10.07.2019,19:00,10.07.2019 19:00,G38_pf_RT.txt
G41,140.3,15.07.2019,19:00,15.07.2019 19:00,G41_pf_RT.txt
G42,174.8,16.07.2019,19:00,16.07.2019 19:00,G42_pf_RT.txt
G44,402.6,18.07.2019,19:00,18.07.2019 19:00,G44_pf_RT.txt
G46,322.3,20.07.2019,19:00,20.07.2019 19:00,G46_pf_RT.txt
G47,395.9,22.07.2019,19:00,22.07.2019 19:00,G47_pf_RT.txt
G48A,100.8,23.07.2019,12:00,23.07.2019 12:00,G48A_pf_FT.txt
G49,211.2,23.07.2019,12:00,23.07.2019 12:00,G49_pf_RT.txt
G50,14,23.07.2019,13:00,23.07.2019 13:00,G50_pf_RT.txt
G51,206,23.07.2019,14:00,23.07.2019 14:00,G51_pf_RT.txt
G53,301.5,23.07.2019,19:00,23.07.2019 19:00,G53_pf_RT.txt
G54,304.6,29.07.2019,19:00,29.07.2019 19:00,G54_pf_RT.txt
G56,259.8,31.07.2019,19:00,31.07.2019 19:00,G56_pf_RT.txt
G57,184.8,01.08.2019,19:00,01.08.2019 19:00,G57_pf_RT.txt
G59,148.9,03.08.2019,19:00,03.08.2019 19:00,G59_pf_RT.txt
G60,167.4,04.08.2019,19:00,04.08.2019 19:00,G60_pf_RT.txt
G61,1,05.08.2019,19:00,05.08.2019 19:00,G61_pf_RT.txt
G62,177.6,06.08.2019,19:00,06.08.2019 19:00,G62_pf_RT.txt
G64,181.6,08.08.2019,19:00,08.08.2019 19:00,G64_pf_RT.txt
G66,459.6,10.08.2019,19:00,10.08.2019 19:00,G66_pf_RT.txt
G67,298.7,11.08.2019,19:00,11.08.2019 19:00,G67_pf_RT.txt
G68,912.8,12.08.2019,19:00,12.08.2019 19:00,G68_pf_RT.txt
G71,264.7,15.08.2019,19:00,15.08.2019 19:00,G71_pf_RT.txt
G72,0.6,16.08.2019,19:00,16.08.2019 19:00,G72_pf_RT.txt
G74,6.8,18.08.2019,19:00,18.08.2019 19:00,G74_pf_RT.txt
G75,258.7,19.08.2019,19:00,19.08.2019 19:00,G75_pf_RT.txt
G76,690.5,20.08.2019,19:00,20.08.2019 19:00,G76_pf_RT.txt
G77,213.4,21.08.2019,19:00,21.08.2019 19:00,G77_pf_RT.txt
G78,142.9,22.08.2019,19:00,22.08.2019 19:00,G78_pf_RT.txt
G82,103.7,26.08.2019,19:00,26.08.2019 19:00,G82_pf_RT.txt
G83,108.1,27.08.2019,19:00,27.08.2019 19:00,G83_pf_RT.txt
G84,83.9,28.08.2019,19:00,28.08.2019 19:00,G84_pf_RT.txt
G85,210.1,29.08.2019,19:00,29.08.2019 19:00,G85_pf_RT.txt
G88,67.2,05.09.2019,19:00,05.09.2019 19:00,G88_pf_RT.txt
GG_8,41.7,12.06.2020,13:55,12.06.2020 13:55,GG_8_pf_SFT.txt
GG_9,123.8,12.06.2020,15:10,12.06.2020 15:10,GG_9_pf_SFT.txt
GG_7,74.6,18.06.2020,14:10,18.06.2020 14:10,GG_7_pf_SFT.txt
GG_5,229.8,08.07.2020,11:50,08.07.2020 11:50,GG_5_pf_SFT.txt
GG_6,222.7,08.07.2020,14:30,08.07.2020 14:30,GG_6_pf_SFT.txt
GG_10,225.6,13.07.2020,14:00,13.07.2020 14:00,GG_10_pf_SFT.txt
GG_11,83.1,14.08.2020,11:20,14.08.2020 11:20,GG_11_pf_SFT.txt
GG_11A,10,14.08.2020,11:20,14.08.2020 11:20,GG_11A_pf_SFT.txt
GG_11B,2.2,14.08.2020,11:20,14.08.2020 11:20,GG_11B_pf_SFT.txt
GG_1,22.6,27.08.2020,09:00,27.08.2020 09:00,GG_1_pf_SFT.txt
GG_2,68.1,27.08.2020,12:00,27.08.2020 12:00,GG_2_pf_SFT.txt
GG_3,84.6,27.08.2020,14:16,27.08.2020 14:16,GG_3_pf_SFT.txt
GG_4,38.8,27.08.2020,15:30,27.08.2020 15:30,GG_4_pf_SFT.txt
GG_12,130.9,14.09.2020,11:40,14.09.2020 11:40,GG_12_pf_SFT.txt
GG_13,186.9,14.09.2020,13:00,14.09.2020 13:00,GG_13_pf_SFT.txt
GG_14,179.5,14.09.2020,14:00,14.09.2020 14:00,GG_14_pf_SFT.txt
GG_15,163.3,14.09.2020,15:00,14.09.2020 15:00,GG_15_pf_SFT.txt
GG_16,198,14.09.2020,16:10,14.09.2020 16:10,GG_16_pf_SFT.txt
GG_17,81.7,14.09.2020,19:00,14.09.2020 19:00,GG_17_pf_SFT.txt
GG_18,132.7,14.09.2020,19:00,14.09.2020 19:00,GG_18_pf_SFT.txt
GG_19,150.5,14.09.2020,19:00,14.09.2020 19:00,GG_19_pf_SFT.txt
GG_20,153.2,14.09.2020,19:00,14.09.2020 19:00,GG_20_pf_SFT.txt
GG_21,187.6,14.09.2020,19:00,14.09.2020 19:00,GG_21_pf_SFT.txt
GG_22,167.8,14.09.2020,19:00,14.09.2020 19:00,GG_22_pf_SFT.txt
