,param_name,param_value,abs_error,data_misfit,model_misfit,trace_cov
0,geo_diff,0.0,197.41969564729993,3254201.8963426566,1.5623152720049933,0.7401529763932633
1,geo_diff,6930000.0,193.49354845130853,3490119.8789898776,1.9216199076211031,0.7376042268758062
2,geo_diff,11430000.0,274.88616213531145,3686758.5385995647,2.461137006197722,0.7459992657189877
3,avg_js_dist,0.624,197.41969564729993,3254201.8963426566,1.5623152720049933,0.7401529763932633
4,avg_js_dist,0.602,197.11106838953515,3179530.338654141,1.9150055307427196,0.7400181355111778
5,avg_js_dist,0.581,214.12392267158032,3109829.426880253,2.9087977444175466,0.741046755609695
6,avg_js_dist,0.561,302.8642691680759,3367942.418713259,13.713556402436073,0.7470301502776452
7,avg_js_dist,0.541,19391.933228094033,2907746965092.6406,705.8795961496517,0.8419324056422601
8,avg_js_dist,0.521,3848.449779712822,87464513391.2788,316.91444124977664,0.8380372736186401
9,avg_js_dist,0.501,8684.644023772424,523008325818.29047,250.9430149971603,0.8390993263340187
10,avg_js_dist,0.481,676.2522248099842,266383532.07051057,158.50347356605263,0.8321646428336218
11,avg_js_dist,0.461,966.9234236006469,1655815657.2804394,123.45664299910571,0.8332082983961614
12,avg_js_dist,0.441,676.981018554877,222573758.05554742,124.41556184049223,0.8323899283334771
13,avg_js_dist,0.421,,,,
14,avg_js_dist,0.4,,,,
15,avg_js_dist,0.38,,,,
16,avg_js_dist,0.359,322129.3948914807,720122352293645.0,616.5743786160554,0.8830196225621988
17,avg_js_dist,0.338,5696.035713702118,162849203700.9458,277.76391501273565,0.8801307508638094
18,avg_js_dist,0.316,,,,
19,avg_js_dist,0.294,,,,
20,avg_js_dist,0.272,676957.2175722965,2700381936476868.0,1145.9231459945104,0.8928758937817914
21,avg_js_dist,0.249,47170.32503714032,12866197747443.768,272.113098905093,0.8805725069161363
22,avg_js_dist,0.225,,,,
23,n_tracers,1.0,347.2424736794994,131783.28473392373,0.26987224352221206,0.9616223459823617
24,n_tracers,2.0,348.46824432350195,251368.60204633238,0.27289156557560684,0.9176957266398311
25,n_tracers,3.0,293.49671172653564,334832.1739269028,0.8141729175519554,0.8786588986688612
26,n_tracers,4.0,296.4918773694304,422580.58953416924,0.8186178546833804,0.8342996322674593
27,n_tracers,5.0,224.0783311291196,425591.6984059068,1.1350239389132621,0.7964281692575446
28,n_tracers,6.0,205.20451041308704,430529.22406778025,1.471804975874398,0.7691315794324539
29,n_tracers,7.0,197.42347643942713,431949.7935443444,1.5619611685398291,0.7401863845593513
30,n_tracers,8.0,197.420837307417,846833.8610214961,1.5622434508167484,0.7401694010392259
31,n_tracers,9.0,197.42026598071567,854375.0275764924,1.5622720479729757,0.7401638104145801
32,n_tracers,10.0,197.42018155919467,1212350.1756326286,1.5622788555395337,0.740161494276775
33,n_tracers,11.0,197.42017649442107,1561108.7411997172,1.5622790722181354,0.7401614295729365
34,n_tracers,12.0,197.42015973011777,2284117.159244151,1.5622809947848328,0.7401613887255654
35,n_tracers,13.0,197.42009949854108,3215032.96791473,1.5622851087892424,0.7401603203373112
36,n_tracers,14.0,197.42007525760098,3229434.912649461,1.5622873539342026,0.7401598655248102
37,n_tracers,15.0,197.41969590604634,3238021.6931414865,1.5623148550241084,0.7401530836879503
38,n_tracers,16.0,197.41969681187402,3240600.291263166,1.5623151558512984,0.7401529992937156
39,n_tracers,17.0,197.41969699115515,3242037.8009160063,1.5623151560302349,0.7401529976612865
40,n_tracers,18.0,197.41969585480098,3245056.396093921,1.5623152409192607,0.7401529816651605
41,n_tracers,19.0,197.41969552469303,3250468.39723999,1.5623152691701427,0.7401529756989692
42,n_tracers,20.0,197.41969581912178,3252537.9810330365,1.5623152691180489,0.7401529782022631
43,n_tracers,21.0,197.41969565260268,3254201.896226337,1.5623152719793458,0.7401529769660361
