,param_name,param_value,abs_error,data_misfit,model_misfit,trace_cov
0,L,200.0,256.94355626077765,3322253.9870361355,25.865307342222597,0.9885663767450672
1,L,347.36842105263156,250.21098751696883,3251788.13069916,10.115844312008953,0.9698331659027875
2,L,494.7368421052632,247.34071357870923,3227442.1788674896,5.48515366854797,0.9418832584360095
3,L,642.1052631578948,238.82742651004673,3228261.778954449,3.59945131075872,0.9072646530643315
4,L,789.4736842105264,228.01640065683821,3232749.74241355,2.6428758644524324,0.8674444776619571
5,L,936.8421052631579,217.78591680228132,3238672.3382704277,2.0908714223739864,0.8238055509147152
6,L,1084.2105263157896,206.59368655728747,3246576.9649147177,1.7465150956817672,0.7775777409084541
7,L,1231.578947368421,194.87252037094038,3256480.596963841,1.5215071508375282,0.7298490160115323
8,L,1378.9473684210527,182.72135398970434,3268106.866243682,1.3712020858904157,0.6815796029557213
9,L,1526.3157894736844,170.28802298648668,3281111.6756158047,1.2710126005787876,0.6336093394966521
10,L,1673.6842105263158,157.73250866330602,3295187.110386508,1.2065064353673092,0.5866590650055945
11,L,1821.0526315789475,145.29287322994116,3310094.419307492,1.1687941022542756,0.5413291191795856
12,L,1968.4210526315792,133.23884603490916,3325659.4670181167,1.152207769140203,0.49809887151196963
13,L,2115.789473684211,121.86019682070109,3341757.3883163505,1.1530610884008665,0.4573289348842816
14,L,2263.157894736842,111.14433077755416,3358298.7026445246,1.1689525127255758,0.4192663535392641
15,L,2410.5263157894738,101.42458200380977,3375218.9890616937,1.1983552488481146,0.3840518820923146
16,L,2557.8947368421054,93.06628474371503,3392471.01326187,1.2403645454758716,0.351729241662596
17,L,2705.263157894737,86.13881246054578,3410018.364230563,1.2945348299353439,0.3222569448382864
18,L,2852.631578947369,80.64883637915074,3427830.2665343685,1.3607704021811167,0.29552263188253347
19,L,3000.0,76.16891648676382,3445877.581269958,1.439249518111079,0.27135965217483354
20,sigma_cov,0.001,209.05907918626178,7813861.204853993,11003387.66549398,0.7989420508644701
21,sigma_cov,0.001623776739188721,204.13729398199828,4938994.435399526,4708769.922631919,0.7789820550634328
22,sigma_cov,0.0026366508987303583,200.92292227232116,3883709.582929354,1901259.1441087744,0.7628729938944796
23,sigma_cov,0.004281332398719396,198.90368906046652,3490415.0177180176,745277.4398356676,0.7516158128670557
24,sigma_cov,0.0069519279617756054,197.97539567195545,3343126.1766981785,287368.3629213753,0.7452228252856036
25,sigma_cov,0.011288378916846888,197.625636394495,3287793.728021278,109798.59330886081,0.7422151657603567
26,sigma_cov,0.018329807108324356,197.4980102911951,3266919.460960099,41769.589876628525,0.7409579227588221
27,sigma_cov,0.029763514416313176,197.44966301655776,3259021.537984233,15860.727305682181,0.7404617126659879
28,sigma_cov,0.04832930238571752,197.43109852336295,3256029.035199491,6018.225888274262,0.7402705597270713
29,sigma_cov,0.07847599703514611,197.4240241887424,3254894.50525793,2282.9233096478206,0.7401976263204865
30,sigma_cov,0.12742749857031335,197.42133627425778,3254464.2762252335,865.8992579215433,0.7401699018126363
31,sigma_cov,0.20691380811147903,197.42031613345665,3254301.112782352,328.416992505842,0.7401593776549978
32,sigma_cov,0.3359818286283781,197.41992912387792,3254239.23126001,124.55957482584368,0.7401553848541144
33,sigma_cov,0.5455594781168515,197.41978232352568,3254215.7616933933,47.24175812438742,0.7401538703374548
34,sigma_cov,0.8858667904100823,197.4197266507361,3254206.860433698,17.91735977022195,0.7401532959812173
35,sigma_cov,1.438449888287663,197.4197055552402,3254203.4843901983,6.79550298960454,0.7401530778489945
36,sigma_cov,2.3357214690901213,197.41969773068973,3254202.2043201076,2.5773242602212947,0.7401529951900025
37,sigma_cov,3.792690190732246,197.419694691368,3254201.718321771,0.9774993170362285,0.7401529633858924
38,sigma_cov,6.158482110660261,197.41969223532934,3254201.534429123,0.3707352174513337,0.7401529475781453
39,sigma_cov,10.0,197.419694128606,3254201.466128337,0.1406083838133425,0.7401529464505541
40,d_sigma_val,0.001,197.4197336463618,325420138.8734037,1.5623153802704643,0.740152949375547
41,d_sigma_val,0.0014297600498142872,197.4197025170352,159190855.88986906,1.5623153903928828,0.7401529961480664
42,d_sigma_val,0.002044213800044951,197.41969732124872,77873877.61824681,1.5623153840749975,0.7401529903125635
43,d_sigma_val,0.0029227352245833225,197.41968848416917,38094781.59937161,1.5623153747923564,0.7401529675711204
44,d_sigma_val,0.004178810060294223,197.4196942472842,18635419.70431759,1.562315365578387,0.7401529368265181
45,d_sigma_val,0.005974695679970707,197.41969434834135,9116179.633059774,1.562315345711302,0.740152953430811
46,d_sigma_val,0.008542381193020124,197.41969501269568,4459504.248187633,1.5623153030233645,0.7401529661678465
47,d_sigma_val,0.012213555360065083,197.41969704959308,2181525.6031634877,1.5623152161369416,0.7401529902438271
48,d_sigma_val,0.0174624535200162,197.41970154349386,1067171.2021223803,1.562315038666062,0.7401530384265363
49,d_sigma_val,0.024967118414658023,197.4197110993271,522045.05087615567,1.562314676200493,0.7401531356606544
50,d_sigma_val,0.035696988468260665,197.419730436408,255377.17535304447,1.5623139351529916,0.7401533350260479
51,d_sigma_val,0.05103812801060038,197.4197699057247,124927.08470444611,1.5623124202859513,0.7401537420836101
52,d_sigma_val,0.07297227644686392,197.41985058749623,61112.775924278176,1.5623093236279075,0.7401545745250576
53,d_sigma_val,0.1043328456077301,197.42001551405087,29895.73356922518,1.5623029937224735,0.7401562761355852
54,d_sigma_val,0.14917093453337452,197.4203526239857,14624.805278546572,1.562290055359108,0.7401597541274589
